"","x"
"epsilon_Noisy.Retrieval",0.900274362311152
"epsilon_TAX",0.895770141984893
"epsilon_Odds.based.SWU",0.893097501449839
"epsilon_Dual.System.M",0.815665943768646
"kappa_Dual.System.LOB",0.765186440346851
"epsilon_SEU",0.75441622591328
"epsilon_Distracted.DFT",0.738598605695258
"epsilon_Dual.System.LOB",0.707517419129799
"gamma_TAX",0.689964877174977
"gamma_Odds.based.SWU",0.672521293329903
"gamma_SEU",0.667419507156919
"gamma_Dual.System.LOB",0.659675446761916
"gamma_Noisy.Retrieval",0.658958301245827
"epsilon_CPT.Prelec",0.632202059042903
"gamma_CPT.LBW",0.557373966050752
"epsilon_CPT.LBW",0.537619866061047
"alpha_Aspiration",0.529287847131084
"gamma_CPT.Prelec",0.509392405938273
"gamma_CPT.TK",0.49866336871903
"sigma_CPT.TK",0.495208770985826
"gamma_Dual.System.M",0.493600751372904
"beta_Aspiration",0.493501394426347
"mu_Noisy.Retrieval",0.483436493725637
"mu_Distracted.DFT",0.47416368258955
"omega_Heuristic.CC",0.42746383985783
"tau_Odds.based.SWU",0.407077721418788
"tau_TAX",0.405263945470569
"gamma_Venture",0.405120864083618
"gamma_Salience",0.403962677263302
"alpha_Regret.LS",0.397578520641726
"gamma_Regret.LS",0.386788553563362
"gamma_Aspiration",0.385073950787842
"gamma_Distracted.DFT",0.382537078161727
"tau_SEU",0.375837769192326
"mu_CPT.LBW",0.372504807848932
"mu_Dual.System.LOB",0.362512600976346
"theta_CPT.TK",0.360946511997367
"tau_CPT.LBW",0.35392356967369
"beta_Regret.LS",0.344735934599702
"omega_Heuristic.Similarity.Leland",0.334782056608528
"delta_Venture",0.330073167859419
"mu_UWS",0.318912138823801
"omega_Heuristic.MPW",0.315488465122683
"gamma_PT.Edit1",0.290327507408719
"kappa_Mean.Alpha.target",0.287233307001665
"gamma_EUT",0.284176904558719
"theta_CPT.Prelec",0.281017603618519
"mu_Dual.System.M",0.273391882843605
"kappa_Disappointment.LS2",0.268200573490802
"theta_CPT.LBW",0.266167466764761
"delta_SEU",0.254399655050279
"kappa_Mean.Below.target",0.250919384895184
"delta_CPT.LBW",0.249586682245516
"omega_Heuristic.Priority",0.247624575570837
"gamma_Disappointment.DC2",0.246322843676796
"delta_Mean.Below.target",0.241415905257117
"tau_RAM",0.237206600053794
"kappa_Disappointment.LS1",0.233341062541295
"kappa_Mean.Variance",0.225274673748405
"omega_Heuristic.Minimax",0.219456989840167
"rho_Subjective.Expected.Pleasure",0.217954148095887
"kappa_Below.mean.Semivariance",0.217732884326505
"kappa_Mean.StdDev",0.217606524436744
"alpha_Disappointment.LS1",0.215984219378481
"epsilon_Certainty.Equivalence",0.214781248934949
"theta_PT.Edit1",0.207545628921331
"gamma_PT.Edit2",0.201114544765797
"kappa_Disappointment.DC1",0.199556096445559
"tau_SEM",0.199126881553744
"gamma_Disappointment.LS2",0.198346639511761
"omega_Heuristic.LPE",0.198251275509806
"alpha_Heuristic.Similarity.Leland",0.19714977735637
"sigma_CPT.LBW",0.192349551502134
"epsilon_DFT",0.190206844794401
"tau_CPT.TK",0.189250693099078
"omega_Heuristic.LEPE",0.17890209031189
"kappa_Heuristic.RELM",0.178598261793883
