"","RC1","RC3","RC2","RC6"
"alpha_Aspiration",-0.0592403124789197,-0.0162359396483821,-0.384283747424039,0.402013892403113
"beta_Aspiration",-0.0516536480416093,-0.015034333327188,-0.389769646506255,0.388675704072464
"delta_Aspiration",0.196539021166284,-0.0565532733376853,0.0173344938433682,0.0368520769056436
"epsilon_Aspiration",-0.0149130254506231,-0.000188330300891009,-0.0113590689610481,0.0599272711298557
"gamma_Aspiration",0.743981133001877,0.052611415424577,0.229352910677392,-0.0787927908608755
"epsilon_Below.mean.Semivariance",-0.00147027717575758,0.995965031258581,0.000102755526332591,-0.00421212747229725
"kappa_Below.mean.Semivariance",-0.157102937057873,-0.00550788589635362,-0.145848680663358,0.164932326057947
"epsilon_Certainty.Equivalence",0.685369670164053,0.00688955312141102,-0.0189808067247366,-0.0391806835511363
"epsilon_CoefVar",0.00922498261570282,0.996515598907394,0.00723999034835723,-0.00423044015106128
"kappa_CoefVar",-0.257295712863525,-0.0363336930172506,0.0750276311025806,-0.151500268977704
"delta_CPT.LBW",0.232154743088132,0.00486042936859759,0.256259327522397,-0.214379058532044
"epsilon_CPT.LBW",-0.176698761629648,-0.00332844784877476,-0.202067955220118,0.516090425444935
"gamma_CPT.LBW",0.812107809739251,0.0417373849963998,0.134351072840955,-0.170071474188182
"tau_CPT.LBW",0.024310766043013,0.0414036873732658,0.79702103746543,-0.211699107649186
"beta_CPT.Prelec",-0.0547457449122217,-0.00232826453606747,-0.163596539823407,-0.0687853180391811
"epsilon_CPT.Prelec",-0.335991254274147,-0.0137980859491792,-0.164482069597096,0.298421791958057
"gamma_CPT.Prelec",0.663321753887766,0.0633431971593743,0.188643800175133,-0.128392323232668
"tau_CPT.Prelec",0.0369426512633023,0.040075146199779,0.740100486384358,0.0775292353353651
"epsilon_CPT.TK",-0.0552550793073554,0.000299880660264945,-0.0584018224947172,0.0671648119243796
"gamma_CPT.TK",0.85637563143344,0.0241986722409049,-0.0143941292976316,-0.129974887271625
"tau_CPT.TK",0.122082652646584,0.0326656789432769,0.726479520438048,-0.104059849229758
"epsilon_DFT",0.0575851779665325,0.970641128542661,0.0308898743782688,0.00948915727590377
"gamma_DFT",0.616226772921954,0.034070709930086,-0.0964082997935137,0.207962936014754
"epsilon_Disappointment.Bell",0.0204148847270597,0.498732507942161,0.0305510482838666,-0.0254321234714108
"nu_Disappointment.Bell",0.00465761518999018,0.000904480385089492,-0.0758381349297605,0.0989671546742378
"alpha_Disappointment.DC1",0.163126023721255,-0.0118017307664545,0.0545945587034866,0.16019257803255
"beta_Disappointment.DC1",0.0203319055724005,-0.016675089755767,-0.125882158018339,-0.0658731841754323
"epsilon_Disappointment.DC1",0.0150245016778128,0.0284987106613005,0.052397167543321,-0.00314230818318603
"kappa_Disappointment.DC1",0.0429710463143847,-0.0279209081328129,-0.173761847291537,0.0857726182443861
"lambda_Disappointment.DC1",0.201994385406171,-0.021956979564227,-0.0180401093066667,0.0209379867942565
"alpha_Disappointment.DC2",-0.224903138508207,-0.001561551356264,0.0459511021331704,0.0669893518769385
"beta_Disappointment.DC2",-0.223752255469486,-0.000502673206082283,-0.0183083610206615,-0.0108699339357152
"epsilon_Disappointment.DC2",0.0282350095683827,-0.00418125224278516,0.102209489138659,0.00913505679278923
"gamma_Disappointment.DC2",0.73242595932186,0.0442204712761772,-0.0141222820856488,0.0138195442907059
"kappa_Disappointment.DC2",-0.0327621179467077,-0.0219463382110141,-0.0620690453178812,-0.0275467252728235
"lambda_Disappointment.DC2",-0.00858545817843304,-0.0222426964811742,0.00594866669607001,-0.0541279067320404
"alpha_Disappointment.LS1",-0.0194443564232655,-0.00321776408947638,-0.110865898026833,0.124370442798299
"epsilon_Disappointment.LS1",0.0574420698122659,0.994851417606688,0.0263883192975317,-0.0045905231130907
"kappa_Disappointment.LS1",0.261448849065109,-0.0290281040592632,-0.214780624998723,-0.109278277479664
"alpha_Disappointment.LS2",-0.173996004290246,-0.00249321576574798,-0.0132764595977354,0.0924804330296225
"epsilon_Disappointment.LS2",-0.100192454323495,-0.00557486984420208,0.0306197258803748,0.0368060581572357
"gamma_Disappointment.LS2",0.821828338266762,0.0376718122695707,0.0156687757510412,0.0490666178088877
"kappa_Disappointment.LS2",0.150379460004187,-0.0322976130914408,-0.151362199800126,-0.174751744784036
"epsilon_Distracted.DFT",-0.184662454004958,-0.0100860073909496,-0.178561616649763,0.73904555861246
"gamma_Distracted.DFT",0.663614794318616,0.0369405483134474,0.0410764696308455,-0.199158745963293
"mu_Distracted.DFT",-0.123625458417464,-0.0363978286845703,-0.571343284968497,0.42473301794306
"epsilon_Dual.1",0.323554287494072,0.131620812332586,0.263557481330239,-0.0466088472868995
"epsilon_Dual.2",0.0343739654272616,0.0267162457657404,0.0972442096633577,-0.0173575156131866
"epsilon_Dual.System.LOB",-0.0514317274176606,0.000830071436536631,-0.0232835755999177,0.0553400241200991
"gamma_Dual.System.LOB",0.858817478054473,0.0476595233653907,0.205410456721602,-0.268995128052579
"kappa_Dual.System.LOB",-0.214166695834795,-0.0101527834571199,-0.287656356042399,0.740129115087158
"mu_Dual.System.LOB",-0.020029329118105,-0.0605324765565459,-0.703771886556666,0.315310714263243
"epsilon_Dual.System.M",-0.116953612912775,-0.00640039336728274,-0.230360074717008,0.651169422150737
"gamma_Dual.System.M",0.60903829809602,-0.0386401786392739,-0.285107151636564,-0.220714222406615
"mu_Dual.System.M",-0.412887176407653,-0.0157054992432657,-0.340677158114894,-0.0384570455041912
"epsilon_EUT",-0.0576409949345058,0.00270766127778074,-0.012754763108897,0.00246257368629113
"gamma_EUT",0.89084112541343,0.0342478250251613,-0.0147199772718195,0.0384982167073644
"epsilon_EV",0.201843850611442,0.946858107296021,0.1218241267894,-0.00743611268440581
"omega_Heuristic.BTA",0.48872239958113,0.0731173289818044,-0.415989730044813,-0.0260232571914213
"omega_Heuristic.CC",0.63971524781531,0.0624862803852699,-0.227983228756287,-0.194625121001639
"omega_Heuristic.EP",0.549175017548601,0.108433448817107,-0.490491407036147,0.0120159227206531
"omega_Heuristic.LEPE",0.295870772858516,0.126423712739482,0.126411578203077,-0.0443966121618459
"omega_Heuristic.LL",-0.62556550682709,-0.0275775305458192,0.306533032009367,-0.0448750677304842
"omega_Heuristic.LPE",0.549903359743428,0.091008178921091,-0.225706587341097,-0.0782787192730999
"omega_Heuristic.Minimax.Regret",0.54917501796928,0.108433451546604,-0.490491408691339,0.0120159177937119
"omega_Heuristic.Minimax",-0.506024600279328,-0.0331722452855786,0.145067554522965,-0.13647561658786
"omega_Heuristic.ML",-0.0745294224929104,-0.0333083756474112,0.533002930008933,0.00824762052705887
"omega_Heuristic.MPW",0.0796754373123371,-0.00863505222410515,0.607859523167779,-0.104573215337818
"omega_Heuristic.Priority",-0.481576150341024,-0.0383568253315987,0.21365627479522,-0.134088293740628
"kappa_Heuristic.RELM",0.400330125503936,0.447666343779721,0.157373435135124,-0.0162520519357466
"alpha_Heuristic.Similarity.Leland",0.225865013795111,0.00522865197648034,-0.0940731051742289,0.00316280373404247
"beta_Heuristic.Similarity.Leland",0.0516947553200611,-0.00457833163908479,-0.0344319717759779,-0.0577913627313441
"delta_Heuristic.Similarity.Leland",0.0209912398078364,0.0260333514417575,-0.00945140094981585,0.0796558050671725
"gamma_Heuristic.Similarity.Leland",0.65615327087404,0.0616508090122228,0.0836215297522542,0.0463201086012753
"omega_Heuristic.Similarity.Leland",-0.0940775135285785,0.0812464853305437,0.468359333006997,-0.223907569511535
"alpha_Mean.Alpha.target",-0.000973222930863251,-0.00456827285004681,-0.0353251934132592,-0.112152046546854
"delta_Mean.Alpha.target",0.256999807666895,-0.0287321115421812,-0.155843316353237,0.0901453364736753
"epsilon_Mean.Alpha.target",-0.00190682791276233,0.995731816360812,-0.000232714932265596,-0.00410528544545346
"kappa_Mean.Alpha.target",0.0193376200149419,-0.0302289365367565,-0.422028121964426,0.200457986792089
"delta_Mean.Below.target",0.224836027157529,-0.04368883970467,-0.150730893678765,0.222599822971196
"epsilon_Mean.Below.target",0.0024007752194319,0.99607568436888,0.00266485496705174,-0.00419785358664006
"kappa_Mean.Below.target",-0.0035451593317844,-0.013753833174498,-0.131359436071266,0.200344081172314
"epsilon_Mean.StdDev",0.0795420065369683,0.479519470896778,0.0368139543492301,0.00348708867801962
"kappa_Mean.StdDev",-0.153772232263231,-0.00649439626000697,-0.132911654685676,0.158571626130964
"delta_Mean.Target.Semivariance",0.207239151025147,-0.0229849915969199,-0.0263921146391377,-0.0163841982933927
"epsilon_Mean.Target.Semivariance",-0.00235482746261237,0.995690018822243,-0.000439833304690686,-0.0040370631406168
"kappa_Mean.Target.Semivariance",-0.0406778677248772,-0.00604403115392249,-0.0448348507332642,0.0366179146649873
"epsilon_Mean.Variance",-0.000177498693347246,0.996124647800016,0.00105082354648149,-0.00449133245081053
"kappa_Mean.Variance",-0.149594389401007,-0.00678939687124472,-0.150451964006248,0.160417344339311
"epsilon_Noisy.Retrieval",-0.198923142542379,-0.00874161243502336,-0.185369882722006,0.870142113125641
"gamma_Noisy.Retrieval",0.863507833727753,0.0362147400759668,0.198750993501469,-0.269521378826194
"mu_Noisy.Retrieval",-0.145208805908506,-0.0415813625152844,-0.801301132707586,0.391330230975715
"epsilon_Odds.based.SWU",-0.206853745566546,-0.00595439871336667,-0.231943305662103,0.846108120535639
"gamma_Odds.based.SWU",0.864231200306048,0.0367507120798834,0.204184650049958,-0.279194666658182
"tau_Odds.based.SWU",0.100020653307024,0.0455746802886259,0.880400586843472,-0.303856442817918
"epsilon_PT.Edit1",-0.0537520676144283,0.00224384696056502,0.00636007787762487,0.0333476585707832
"gamma_PT.Edit1",0.876088315000175,0.0256752209402615,-0.114369989555983,0.0120897757040159
"tau_PT.Edit1",0.0812369113392643,0.0371010144548175,0.656623625915064,-0.0426222947134599
"epsilon_PT.Edit2",-0.0457781548077789,-0.000856696407294362,-0.00114300520232526,0.103120634372062
"gamma_PT.Edit2",0.823551907849348,0.0209620701220831,-0.142049801820028,0.0403155902580583
"tau_PT.Edit2",0.087217780406527,0.0365557036729738,0.664275980162033,0.0447219456793542
"epsilon_RAM",-0.132423388828159,-0.00176403117927589,-0.099229871868803,0.197999494413217
"gamma_RAM",0.821298724186712,0.0398301042624824,0.0862196005884609,0.0324033586564077
"tau_RAM",0.0168690072022083,0.0230121441223057,0.759227963020081,-0.189739162245598
"alpha_Regret.Bell",0.188695894683132,-0.0165176184111968,-0.135968886166857,-0.0873718102788622
"beta_Regret.Bell",0.227594423747383,-0.00737212942423735,-0.0353435178558761,0.0414407691639473
"epsilon_Regret.Bell",0.00853339128396173,0.996202243382143,0.00482019955188539,-0.00396778539257019
"kappa_Regret.Bell",-0.140157800349828,-0.0473706077058985,0.0956029102065387,-0.0975104441540256
"lambda_Regret.Bell",0.129311999503773,-0.0434161578703626,-0.0887284331633298,-0.0900553182903225
"alpha_Regret.LS",-0.334834979039687,-0.00497333191025195,-0.11066874529205,0.198418519728438
"beta_Regret.LS",-0.134482229025849,-0.0104640552310572,-0.0666169307405636,0.235452874897695
"epsilon_Regret.LS",-0.065838481972009,0.000448786433641175,-0.0517618923368628,-0.0133899930295021
"gamma_Regret.LS",0.763167427690421,0.0458425136658571,-0.0212692269377694,-0.145225184691967
"kappa_Regret.LS",0.0704178377541454,-0.0343788426335439,0.0323683599458899,0.00198045010750202
"lambda_Regret.LS",0.158578783962179,-0.0182513371422464,-0.0255348839904955,-0.0468047832097905
"alpha_Salience",0.0122049778859849,-0.0116381799217987,0.0282143817388358,0.0252206994046725
"beta_Salience",-0.0391962490864153,-0.0182138557776835,-0.0734273023985989,-0.0212259502566372
"epsilon_Salience",-0.139371900931708,-0.0041629344754186,0.0877776098004975,0.048256751765976
"gamma_Salience",0.746330212401501,0.0354501649557701,-0.00812405508934337,-0.10115134605921
"epsilon_SEM",0.349171021279051,0.853214574658703,0.100778137335639,-0.0144075812972483
"tau_SEM",-0.0535066720198822,0.0407269930208441,0.715688501505445,-0.103062170266106
"delta_SEU",0.00745357318152268,-0.00249177608680554,0.137078366511581,0.0240934137095175
"epsilon_SEU",-0.152189232435774,-0.00543920709560729,-0.245212056376824,0.729842752997125
"gamma_SEU",0.83844521633326,0.0445867924364495,0.226638863433953,-0.25778621099868
"tau_SEU",-0.0162291365590446,0.0453755706484583,0.852908483898609,-0.242418805097271
"alpha_Subjective.Expected.Pleasure",0.14560964736528,-0.0156397599003082,-0.102898416743777,0.00899061532798255
"beta_Subjective.Expected.Pleasure",0.182869087819514,-0.0186855234525473,-0.0661119964794601,-0.0507350650073677
"chi_Subjective.Expected.Pleasure",0.163112036012479,-0.0152227158267302,0.0332717593809498,0.206916605863363
"epsilon_Subjective.Expected.Pleasure",-0.0136651406674945,0.0330516054341888,0.0405743716358339,-0.00996295183996342
"kappa_Subjective.Expected.Pleasure",-0.246324523193567,-0.0215778035849875,-0.0165227306885981,-0.093850080850922
"lambda_Subjective.Expected.Pleasure",0.0238515732748924,-0.00580955295330142,-0.134869042232804,-0.00734062427729958
"psi_Subjective.Expected.Pleasure",0.102971635012956,-0.0146664410312152,-0.046408840458529,-0.0201022018304564
"rho_Subjective.Expected.Pleasure",0.0228581069390514,-0.0271933186664336,-0.291638881259214,0.118252096333951
"upsilon_Subjective.Expected.Pleasure",0.119072601770709,-0.0174686313471871,0.0267680851111749,0.0591696177058524
"epsilon_TAX",-0.200359343474147,-0.00598398477445694,-0.234229987873629,0.852570784774574
"gamma_TAX",0.847593309538008,0.0306665543685253,0.16219281967122,-0.303482631026371
"kappa_TAX",-0.0166284856418365,-0.00451791430223679,-0.0250754783488488,-0.0810414473010783
"tau_TAX",0.0552584597971912,0.0437435266388817,0.857334988139399,-0.299534289731192
"iota_UWS",-0.148665344684865,0.108459178330915,0.0092968858544169,0.116528041891736
"mu_UWS",-0.642905011207715,-0.0414110343163292,-0.216125135166078,0.118245892187054
"epsilon_Variance.Skewness",-0.00117929400914821,0.995543219511554,0.00344944098782866,-0.0052287027216092
"nu_Variance.Skewness",0.0129520679240816,0.00477317298232344,-0.00116722186327469,0.0299926535111196
"phi_Variance.Skewness",-0.355264811090679,0.000909804831614512,0.170933916902905,0.00517345794139304
"beta_Venture",-0.0749158112889974,-0.00715303124244011,-0.062849723382547,-0.0772103221032046
"epsilon_Venture",-0.0672429441429802,0.00212394847983035,-0.00306008098561788,0.00539723486384791
"gamma_Venture",0.781447890661045,0.0288114423254648,0.0339318051856165,-0.0715548256636966
"tau_Venture",-0.0152755152450579,-0.00259696483029476,-0.714305618760363,-0.0935644013416646
