"","RC1","RC4","RC2"
"alpha_Aspiration",0.202141066832333,-0.118248683983811,-0.234212746096034
"beta_Aspiration",0.208104031713467,-0.145073464582653,-0.321277078048553
"delta_Aspiration",0.121989051462204,-0.0593256563120698,0.0484857420772478
"epsilon_Aspiration",-0.535767755408442,0.145981554058427,0.374277874223394
"gamma_Aspiration",0.488517612893084,0.595581597648211,0.129124353703584
"epsilon_Below.mean.Semivariance",0.0702212716666208,0.926952933834436,0.172039825457118
"kappa_Below.mean.Semivariance",-0.284037192325963,-0.105300170237753,-0.11202946569399
"epsilon_Certainty.Equivalence",0.43144958868104,0.63472094178108,-0.156274334341119
"epsilon_CoefVar",0.319904127612158,0.859164228644271,0.227711449604068
"kappa_CoefVar",-0.380936038659607,0.015143918268775,0.0877032237212572
"delta_CPT.LBW",0.190507019943437,0.0584824854664703,0.277530153122054
"epsilon_CPT.LBW",-0.849292344840957,-0.208894245313099,-0.148442254431365
"gamma_CPT.LBW",0.753070709633913,0.459952025980773,0.0423010605226858
"tau_CPT.LBW",0.0247376111465463,0.245003564310228,0.753958632048539
"beta_CPT.Prelec",0.100629179000524,0.247740432003457,0.165593460558083
"epsilon_CPT.Prelec",-0.703706538527788,-0.163402018089402,-0.144984243480049
"gamma_CPT.Prelec",0.613999644859906,0.432763547182808,0.106929615088784
"tau_CPT.Prelec",0.0365607949317709,0.102254226692911,0.719376090439846
"epsilon_CPT.TK",-0.890358994783629,-0.134640114457665,0.114517348165819
"gamma_CPT.TK",0.788845286761973,0.444811311910655,-0.116703623772462
"tau_CPT.TK",0.0826799236406418,0.133385261227215,0.812134104338746
"epsilon_DFT",0.000945065765134934,0.259263228326805,0.11073060003962
"gamma_DFT",0.428554839072989,0.166169140047699,-0.154950661099406
"epsilon_Disappointment.Bell",0.147966905573209,0.921994097604837,0.25344928929238
"nu_Disappointment.Bell",0.283542289243807,0.151079699858271,-0.0469341005274465
"alpha_Disappointment.DC1",0.17842925231543,0.00987531803816212,0.0637218301556181
"beta_Disappointment.DC1",0.00924950123514101,-0.129270797019053,0.00210088871657248
"epsilon_Disappointment.DC1",0.159917335869133,0.915468671016227,0.19730607677933
"kappa_Disappointment.DC1",0.0033408827328437,-0.0416236678929561,-0.119452808490791
"lambda_Disappointment.DC1",0.110255549626364,0.0547767661534879,-0.0168671877973668
"alpha_Disappointment.DC2",-0.0427401221375265,-0.0421246567532948,-0.0172837448190222
"beta_Disappointment.DC2",-0.0161972652213874,-0.0363135016051003,-0.0380460022554198
"epsilon_Disappointment.DC2",-0.606205333412342,0.174074822187708,0.391531825967459
"gamma_Disappointment.DC2",0.499069052688063,0.467662074599528,-0.108319776669533
"kappa_Disappointment.DC2",0.0240364532973043,-0.114967027364661,-0.0602276174399766
"lambda_Disappointment.DC2",0.0425670507006878,-0.0519248192730144,0.026121152027758
"alpha_Disappointment.LS1",0.148387133902604,0.0158769137074515,-0.439247517906095
"epsilon_Disappointment.LS1",0.328306187308263,0.8462437703445,0.0364378645818343
"kappa_Disappointment.LS1",0.188295397245594,-0.0511543667813343,-0.0790128160395625
