"","RC1","RC2","RC7","RC5","RC4"
"alpha_Aspiration",-0.0562588587315528,-0.37609917109753,0.419092244061556,0.0764667174190344,-0.01894361334389
"beta_Aspiration",-0.0502078057959089,-0.380897369866954,0.407018911873789,0.0584218414893532,-0.0172355039460179
"delta_Aspiration",0.17275340337915,0.0271294755463214,0.036600515098354,-0.0762944304168127,-0.0586957090617531
"epsilon_Aspiration",-0.0135681081554751,-0.015489040491786,0.0539179318963507,0.0109656444137816,7.97013673817326e-05
"gamma_Aspiration",0.74718048199074,0.234362972589002,-0.100777769820675,-0.0828685498265287,0.0597192029945874
"kappa_Below.mean.Semivariance",-0.155521219119981,-0.148641852640503,0.167571171177928,0.791081741073284,-0.00369493838472207
"epsilon_Certainty.Equivalence",0.673856664696347,0.00164876638700074,-0.0386411205126665,-0.0796300406303474,0.0369758136582282
"kappa_CoefVar",-0.247626903061179,0.0657372963729735,-0.146373853743291,-0.0909511908811602,-0.058186799615196
"delta_CPT.LBW",0.209704622385136,0.254629967102775,-0.22931579969894,-0.145386280539183,0.00435604665480727
"epsilon_CPT.LBW",-0.164371856268871,-0.201873578375106,0.507521624940418,-0.0337933991967653,-0.00705363209532389
"gamma_CPT.LBW",0.807796346929026,0.137403055755852,-0.189060462638897,0.037236565356759,0.0502511652613445
"tau_CPT.LBW",0.0175033825278686,0.795432054278744,-0.216732942193985,-0.0219202918604089,0.0390540646899937
"beta_CPT.Prelec",-0.0454989272280753,-0.15398295650659,-0.0509767710159623,0.134926512747582,-0.0059748335691448
"epsilon_CPT.Prelec",-0.330689300541069,-0.166494462850826,0.298169669938721,-0.0494960296702632,-0.0131606450434921
"gamma_CPT.Prelec",0.657764378816453,0.194991564101994,-0.139043576070002,0.0124045034199768,0.0760401018492176
"tau_CPT.Prelec",0.0319936153966357,0.744373503827649,0.0766836595500235,0.0533070390717497,0.0368514757473245
"epsilon_CPT.TK",-0.0533739573534554,-0.0527845051501713,0.0760359143244307,0.0960680996662399,0.00313940758693563
"gamma_CPT.TK",0.857880462298966,-0.0117629753225655,-0.153788038050329,0.0552062378559661,0.0242724583641595
"tau_CPT.TK",0.0939954050474657,0.731627251231588,-0.109977222959221,-0.21968397765319,0.0339414096474134
"epsilon_DFT",0.04589318593713,0.0284725409362697,0.00504789576367721,-0.00157190710510161,0.955429156509515
"gamma_DFT",0.612959097883324,-0.0813648074122812,0.202142730573063,0.0374680721838557,0.0447198043507973
