SUBJ ID;EXPERIMENT;EV__epsilon;EUT__epsilon;EUT__gamma;SEM__epsilon;SEM__tau;SEU__delta;SEU__epsilon;SEU__gamma;SEU__tau;PT-Edit1__epsilon;PT-Edit1__gamma;PT-Edit1__sigma;PT-Edit1__tau;PT-Edit1__theta;PT-Edit2__epsilon;PT-Edit2__gamma;PT-Edit2__sigma;PT-Edit2__tau;PT-Edit2__theta;CPT-TK__epsilon;CPT-TK__gamma;CPT-TK__sigma;CPT-TK__tau;CPT-TK__theta;CPT-LBW__delta;CPT-LBW__epsilon;CPT-LBW__gamma;CPT-LBW__mu;CPT-LBW__sigma;CPT-LBW__tau;CPT-LBW__theta;CPT-Prelec__alpha;CPT-Prelec__beta;CPT-Prelec__epsilon;CPT-Prelec__gamma;CPT-Prelec__sigma;CPT-Prelec__tau;CPT-Prelec__theta;Dual-1__epsilon;Dual-2__epsilon;Regret-Bell__alpha;Regret-Bell__beta;Regret-Bell__epsilon;Regret-Bell__kappa;Regret-Bell__lambda;Regret-LS__alpha;Regret-LS__beta;Regret-LS__epsilon;Regret-LS__gamma;Regret-LS__kappa;Regret-LS__lambda;Salience__alpha;Salience__beta;Salience__epsilon;Salience__gamma;Salience__rho;Aspiration__alpha;Aspiration__beta;Aspiration__delta;Aspiration__epsilon;Aspiration__gamma;Below-mean Semivariance__epsilon;Below-mean Semivariance__kappa;Certainty Equivalence__epsilon;CoefVar__epsilon;CoefVar__kappa;DFT__epsilon;DFT__gamma;Distracted DFT__epsilon;Distracted DFT__gamma;Distracted DFT__mu;Disappointment-Bell__epsilon;Disappointment-Bell__nu;Disappointment-LS1__alpha;Disappointment-LS1__epsilon;Disappointment-LS1__kappa;Disappointment-LS2__alpha;Disappointment-LS2__epsilon;Disappointment-LS2__gamma;Disappointment-LS2__kappa;Disappointment-DC1__alpha;Disappointment-DC1__beta;Disappointment-DC1__epsilon;Disappointment-DC1__kappa;Disappointment-DC1__lambda;Disappointment-DC2__alpha;Disappointment-DC2__beta;Disappointment-DC2__epsilon;Disappointment-DC2__gamma;Disappointment-DC2__kappa;Disappointment-DC2__lambda;Dual System-M__epsilon;Dual System-M__gamma;Dual System-M__mu;Dual System-LOB__epsilon;Dual System-LOB__gamma;Dual System-LOB__kappa;Dual System-LOB__mu;Mean Alpha-target__alpha;Mean Alpha-target__delta;Mean Alpha-target__epsilon;Mean Alpha-target__kappa;Mean Below-target__delta;Mean Below-target__epsilon;Mean Below-target__kappa;Mean StdDev__epsilon;Mean StdDev__kappa;Mean Target Semivariance__delta;Mean Target Semivariance__epsilon;Mean Target Semivariance__kappa;Mean Variance__epsilon;Mean Variance__kappa;Noisy Retrieval__epsilon;Noisy Retrieval__gamma;Noisy Retrieval__mu;Subjective Expected Pleasure__alpha;Subjective Expected Pleasure__beta;Subjective Expected Pleasure__chi;Subjective Expected Pleasure__epsilon;Subjective Expected Pleasure__kappa;Subjective Expected Pleasure__lambda;Subjective Expected Pleasure__psi;Subjective Expected Pleasure__rho;Subjective Expected Pleasure__upsilon;Odds-based SWU__epsilon;Odds-based SWU__gamma;Odds-based SWU__tau;UWS__iota;UWS__mu;Variance Skewness__epsilon;Variance Skewness__nu;Variance Skewness__phi;Venture__beta;Venture__delta;Venture__epsilon;Venture__gamma;Venture__sigma;Venture__tau;Venture__theta;RAM__epsilon;RAM__gamma;RAM__tau;TAX__epsilon;TAX__gamma;TAX__kappa;TAX__tau;Heuristic BTA__omega;Heuristic CC__omega;Heuristic EP__omega;Heuristic RELM__kappa;Heuristic LL__omega;Heuristic LEPE__omega;Heuristic LPE__omega;Heuristic Minimax__omega;Heuristic Minimax Regret__omega;Heuristic ML__omega;Heuristic MPW__omega;Heuristic Priority__omega;Heuristic Similarity-Leland__alpha;Heuristic Similarity-Leland__beta;Heuristic Similarity-Leland__delta;Heuristic Similarity-Leland__gamma;Heuristic Similarity-Leland__omega
1;Erev17app;0.193546421;1.130353637;0.594502993;0.193490783;0.997132438;1;1.095168559;0.592400729;0.782948263;0.996876489;0.609678725;1.113070983;0.887637618;6.74394E-16;0.497452341;0.751526971;1;1;0.009708164;0.767119823;0.604620421;2.692181322;1;0.362500486;0.846432796;0.709617761;0.652025748;0.163796875;4.290054559;0.380626263;1;3.246170569;1.057515568;0.637407953;0.733624953;5.325425859;0.422744503;1;0.156660292;0.106591905;0.680533793;108.3639773;0.000976116;642.6128802;2.0676E-211;10.07498012;0.874422671;0.001944104;0.61058911;5.73714E-10;745.1332191;0.110252119;0.627484315;0.498546988;0.776985566;0.001718481;2.84784E-15;1.552428866;0.328883541;1.170776713;0.504974518;0.187621285;0.013949127;0.02894272;0.189373504;6.820503301;12.76039536;0.863380748;20.17657813;0.76916082;0.083700446;0.202648848;-0.422237701;1.000003096;0.193502156;745.1284398;1.000179969;1.094230582;0.597998751;745.1332169;1.389547819;1.391414185;0.188989339;78.56824413;78.02704186;29.04346898;67.98779914;2.450183522;0.663889663;3.97011E-37;5.7813E-90;1.451222806;0.146267408;0.87350046;0.159093606;0.594430811;6.088962002;0.091283745;2.052711171;0.202344056;0.160389767;0.086189199;0.086419753;0.161912647;2.901005239;0.195707664;0.185393749;0.195964356;0.160616169;0.105530162;0.195625817;0.006510524;1.216236454;0.59443081;0.145412393;5.36479E-31;1.74888E-16;1.498567566;0.094794081;659.0152072;723.4925505;1.808937413;0.862336028;0.249441043;1.095168566;0.592400731;0.782948265;1;1.43444E-15;0.195625821;-0.006510524;1.535405258;4.26748E-37;2.61952E-55;1.150646046;0.597053381;1.032358052;0.626652227;2.7669E-14;0.365799839;0.711189648;0.844882537;1.095168562;0.59240073;1.22787E-27;0.782948276;0.578947373;0.761904759;0.615384609;0.315663479;0.538461535;0.5;0.5;0.692307691;0.615384617;0.65217391;0.600000003;0.64285714;0.274234455;0.013254612;0.769639735;0.533970173;0.8
2;Erev17app;0.205864651;0.322054485;0.875489839;0.204724017;0.783024791;0.578152813;0.362157761;0.887789215;0.508473069;0.149174781;1;2.447501817;0.567164793;0.416083521;0.173510175;1;2.146386338;0.791648075;0.416432811;0.163662206;1;3.66998333;0.801335616;0.470827852;1;0.216778738;1;1;3.066834985;1;1.79545E-14;0.09393918;0.906849946;0.227735797;1;1.859291862;1;1.19606E-14;0.173016996;0.108683578;0.714728905;2.862645152;0.000636565;745.1332191;0.066465683;107.5409964;0.534442864;0.001896638;0.66680786;3.7261E-129;745.1332191;1.614906832;0.814567606;0.207385589;0.999999889;2.360248447;11.98591946;7.34511E-16;0.01158346;0.164158581;1;0.197460858;0.012044589;0.046750515;0.205864651;9.512E-15;1.928207815;0.913908307;14.47796643;0.711088604;0.181643991;0.214376193;-0.402093508;1.573416419;0.21078116;0.047243619;2.80204286;0.579874632;0.750858691;0.002106974;2.596558823;0.156175382;0.271272693;0.000122315;19.8638792;2.856792578;0.150075137;0.271501281;1;3.55857E-05;20.01296637;1.550640972;0.191535729;0.873798426;0.136837023;0.774956818;2.142894254;0.215111585;4.20249E-16;0.010533161;0.164158582;11.98591955;0.764705882;0.073141644;2.136982598;0.209882829;0.189808755;0.88757903;0.161439372;0.004005034;0.19806765;0.003484346;0.49314087;0.774956817;0.255815672;6.03999E-46;19.15126339;2.59784E-63;0.243786859;16.49361824;2.17197E-36;0.055619335;2.90035E-26;28.88131669;0.471292839;0.763461639;0.584067988;4;0.303271647;0.198067652;-0.003484347;-7.336056042;2.54196E-27;0.674924337;0.252942809;1;1.657359522;4.7734E-39;0.100157053;0.194624432;1;0.486660975;0.194222407;0.951240853;0.760326402;0.267936413;0.605263154;0.761904764;0.653846156;0.186664746;0.615384615;0.509090915;0.5;0.749999999;0.65384616;0.586956521;0.577777774;0.732142857;5.805525773;1.306146145;0.412458819;0.916746355;0.875000001
3;Erev17app;0.104170907;1.612701982;0.486798258;0.104170899;1;0.679584404;1.253002606;0.570773794;0.829597461;0.449648543;1;1.219496682;0.137893837;0.468565361;0.444989975;1;1.259097519;0.138732871;0.469171186;0.438511904;0.981758951;1;0.142034801;1;0.132699179;0.74617357;1;1;1;0.574701418;0.348383206;0.345713056;1.359883793;21.79909881;0.497991703;1;0.401664294;1;0.393318217;0.436395219;2.155810709;0.53399676;0.000686227;0.202602064;745.1332191;5.14145839;0.710151837;0.002521735;0.499197376;0.043759663;745.1332191;11.52748964;1.376921694;2.901220298;0.461110259;4.67843E-17;13.64948137;8.29227E-08;0.049339356;0.477177282;0.773851379;0.418848116;0.057158865;0;0.099410347;37.09053125;1.944525746;0.984175266;1.069132506;7.90127E-15;0.700555724;0.432609111;-1.341293232;0.99996717;0.104326208;745.1331999;5.857072119;1.605155755;0.488965314;6.05935E-06;0.294667009;0.294667009;0.756584882;14.84022733;37.07473585;0.064651867;0.064651874;1.788842388;0.775440971;17.60987666;36.79334751;3.427673907;0.100483691;0.951384352;0.536830216;0.437986859;2.608622594;0.226730472;7.10062E-32;0.049406126;0.179677228;40.77474562;0.143708619;0.241244983;6.014015557;0.300583534;0.629888029;0.199461128;0.183417042;0.436039225;0.216437545;0.023349943;2.254728187;0.437986854;0.281639728;0.609346434;1.2448E-32;1.23009E-32;1.252889139;16.09142491;2.47028E-15;0.201074851;1.99918E-40;83.06289478;1.563682069;0.490238052;0.914810672;1;0.315155153;0.216437543;-0.023349942;0.604685673;4.25974E-21;0.8631321;87.3090383;0.732061494;8.506623455;0.193875808;0.154613817;12.76447959;0.639084382;0.520471254;0.399962742;0.656751548;2.360963384;7.57415E-17;0.552631575;0.904761904;0.615384618;0.171211209;0.538461537;0.5;0.5;0.923076921;0.615384614;0.652173912;0.644444446;0.857142857;1.356011719;0.817935134;0.519322559;0.54660502;0.877551019
4;Erev17app;0.179309804;0.247159018;0.911483132;0.183971947;0.734819013;1;0.351384274;0.834034513;0.643463695;0.274663385;0.909542219;1;0.744424433;1.82721E-14;0.259641381;0.912282827;1;0.788689412;1.82422E-19;0.326241098;0.876541313;1.015315475;0.72094939;0.593654265;1;0.393275712;0.82147315;0.803717184;1;0.656179821;0.592258303;0.959495675;0.888080945;0.395404805;0.826600968;1;0.779735759;0.558928222;0.072733537;0.03715415;2.033997342;0.392121793;0.001110076;1.627788146;745.1332191;2.671481692;0.461193739;0.001296328;0.876288271;0.388410771;745.1332191;3.001830497;745.1332191;81.86723292;0.009206186;0.000921536;0.002003686;6.148953129;0.609334319;0.378903974;0.788828015;0.174870164;0.002431215;0.070411571;0.182108843;88.19908595;0.743743894;0.46789871;0.74374391;0.467898721;5.43789E-17;0.177478429;-0.061398881;1.000399378;0.181958499;745.1332189;1.000589693;0.351279638;0.826634264;745.1332184;4.18364774;4.183647157;0.226262268;3.175311807;3.175320234;5.083822385;5.01635387;0.494224611;0.804678617;1.19774E-05;1.53986E-05;0.485510057;0.392968363;0.679079617;0.242129906;0.861517357;0.192204174;0.562174098;1.31155E-17;0.608439044;0.179520094;9.771129034;0.041666667;0.155822556;1.81212621;0.176761542;0.030997932;0.050262064;0.169721843;0.120337125;0.178289935;0.000224804;0.314830953;0.861517363;0.16620138;5.753970875;0.236646651;4.171851656;0.110371532;5.10139E-19;74.3350661;4.171821044;0.149051683;0.149072349;0.351384266;0.834034504;0.64346367;2;1.46911E-15;0.178289937;-0.000224804;-1.026608171;8.77506E-17;1.10423E-18;0.315176082;0.90670397;1.070774624;0.292009509;0.093384213;0.080985719;1;0.414961272;0.351384272;0.834034507;7.05815E-16;0.643463676;0.736842103;0.666666666;0.596153852;0.296203958;0.519230769;0.5;0.508771935;0.615384615;0.596153852;0.543478262;0.577777781;0.535714284;0.277518082;0.331176099;0.069719636;0.777660467;0.725490189
5;Erev17app;0.411933731;0.512106018;0.940405568;0.411114143;0.944723835;1;0.538201441;0.924282335;0.903241575;0.363466913;0.997716806;1.344494842;0.929445051;0.012935905;0.393316081;1;1.075243679;0.962857417;0.017260527;0.355116802;0.989822872;1.353226399;0.869773582;1;0.894836118;0.360446348;0.99999996;1;1.269317551;0.866700502;1;1.079058348;1.018471193;0.356389664;1;1.371840805;0.862998189;1;0.183094404;0.107429518;0.482501108;1.695193188;0.001709317;745.1332191;9.55455107;2.306175842;0.572289808;0.002036064;0.901739961;1.556335782;745.1332191;3.547038989;0.824841736;0.380816449;1;5.263065692;17.39112676;1.56206E-30;0.333448352;0.322057833;1;0.398745982;0.004674316;0.065119188;0.411299778;8.59167122;8.147810478;0.854622263;8.14781066;0.85462226;1.55595E-17;0.416421674;-0.166495676;7.640910706;0.459142568;3.03119E-14;8.838650609;0.848704595;0.871216438;2.20549E-14;20.64293034;20.64293023;0.478824412;1.57E-31;1.57E-31;22.51767115;16.47432231;0.674898432;0.914718718;6.56023E-40;2.02644E-28;0.815764595;2.78956E-15;0.514541831;0.512106014;0.940405569;2.6958E-14;4.23771E-14;4.3337E-17;0.335756513;0.32205782;17.39112742;0.685185185;0.335151961;0.41481113;0.409737942;0.066073288;0.899591518;0.37208221;0.001639853;0.404072937;0.001606311;0.512106016;0.94040557;6.07423E-16;0.11044476;7.27402E-34;35.29540089;0.425458779;18.13115512;1.5799E-33;0.504215249;1.71359E-71;1.791606772;0.538201439;0.924282332;0.903241576;10;4.58131E-16;0.40407294;-0.001606311;3.022985407;5.8485E-15;0.015086965;0.379572003;0.990606122;1.218310509;0.124770158;4.25756E-16;0.182170734;1;0.948279125;0.538201436;0.924282331;3.81221E-16;0.903241576;0.631578946;0.761904761;0.653846153;0.611762472;0.5;0.5;0.5;0.673076925;0.653846159;0.65217391;0.599999998;0.66071429;0.027679065;0.66822348;0.713006505;0.758821337;0.781818177
6;Erev17app;0.154939214;1.011679473;0.592394187;0.154939213;1;0.467939483;0.558151376;0.772064052;0.716511396;1.012688916;0.600471146;1;1;0.647834509;0.379990062;0.771264879;1;1;0.529181399;1.306481481;0.58240897;1;1;0.444234079;0.976173683;1.160354041;0.633373287;0.602502034;1;1;1.50061E-12;1.104908117;1.279954925;0.769207694;0.790979365;1;1;8.83955E-34;0.132496003;0.095096488;0.943171897;0.943172001;0.000126668;745.1332188;745.1332174;1.285052191;1.285052833;0.000376977;0.591069918;745.133218;745.133219;0.831251028;0.826077505;0.741842564;0.640027784;3.14535E-16;0.014104528;1.825384034;0.679000527;1.398036298;0.53368516;0.149600523;0.012483045;0;0.150492904;30.64710857;0.069987839;1;0.928669819;1;1;0.164935333;-0.478082485;0.999705894;0.16107598;745.1332188;0.999932148;1.020908741;0.594978034;745.1330952;3.867934279;3.849876253;0.170876568;0.000360413;0.000392788;15.60667021;15.60667012;0.86226704;0.60055963;3.58443E-11;3.58443E-11;1.902571279;0.081884829;0.914033742;0.844289378;0.557782487;0.273112065;0.310686942;0.749645864;0.685185185;0.000709518;745.1332191;0.764705882;0.00855121;20.30984811;0.163719388;0.251537494;0.896115607;0.098399947;0.009672824;0.155334216;0.006993356;1.146514917;0.557782494;0.124969916;0.038369402;1.92727E-25;3.859244663;0.142933507;32.01173995;2.32009E-63;3.804847163;0.000133451;0.000172971;1.011679479;0.592394182;1;43;0.659304952;0.155334213;-0.006993356;-0.328177452;1.290975081;0.033677469;0.50070145;0.897029685;1;1.50728E-24;0.338342834;0.288997561;0.742262546;1;0.696753825;0.677662232;0.229989715;1;0.71052632;0.714285709;0.634615389;0.086240112;0.653846152;0.563636358;0.508771928;0.673076921;0.634615387;0.586956524;0.511111118;0.678571427;1.61820935;0.411069213;0.649841092;0.747063895;0.816326532
7;Erev17app;0.308443737;0.555747077;0.853614262;0.308443731;1;0.6561665;0.409749524;0.986872416;1;0.57305919;0.851994272;1;1;0.589666012;0.320330391;0.991966475;1;1;0.624885644;0.555755282;0.85361264;1;1;1;0.57756828;0.507283959;1;0.370186757;1;1;0.757164116;1.514067779;1.326392927;1.056574421;1;1.000000189;0.999999981;1;0.11569031;0.075344481;21.04524873;0.552511375;0.094590867;1.93071E-39;27.97680735;0.683059299;60.12819515;0.005050593;0.857642763;644.1434251;2.3628E-100;0.109233861;1.503976479;1.984767196;0.60876712;2.327576437;6.30849E-54;17.63302746;7.65671E-18;0.45424082;0.999999998;0.307126218;0.00020575;0.008910544;0.308443732;8.48888E-15;0.018173065;0.017269968;0.398110882;1.31564E-15;0.324190884;0.30122422;-0.133136044;0.999726386;0.352986683;745.1332177;0.999666069;1.318718115;0.856501965;745.1332113;1.783767322;1.77413572;0.403086486;3.001635057;3.137377065;1.714800637;1.712518066;1.685255463;0.715097764;53.18950104;53.56764268;0.471797122;1.6611E-14;0.360883403;0.555747086;0.85361426;1.42937E-15;0.024142333;1.05899E-26;9.78622E-18;0.507912067;23.93716689;0.00961689;0.272536037;9.668655221;0.299792408;0.056568889;0.00175533;0.279797721;222.6234917;0.300938137;0.000731188;0.555747091;0.853614264;1.15637E-16;4.4832E-20;1.21681E-37;1.521301157;0.343710439;23.60783928;4.39709E-26;1.47621454;2.226981802;2.734936512;0.555747085;0.853614259;1;3;0.002;0.300938136;-0.000731188;-1.707393582;0.213172642;4.56577E-36;0.433367253;0.944055914;1;7.10134E-22;0.01613237;0.119356865;0.988879439;1;0.555747086;0.853614262;2.30041E-15;1;0.526315785;0.761904767;0.500000002;0.297374539;0.500000003;0.5;0.508771928;0.673076924;0.500000003;0.804347828;0.800000003;0.607142851;0.068612491;5.139954619;0.027659761;0.712773511;0.803571429
8;Erev17app;0.218929845;0.399351097;0.845069411;0.218929844;1;0.567711129;0.276039871;0.996842217;0.896982773;0.364916912;0.873278719;1.091747563;1;0.444534762;0.30909486;0.91020096;1;1;0.42803357;0.374232182;0.842997383;1.050095897;0.839936337;1;0.534830445;0.257510857;1;0.655348915;1.000000061;0.862485457;1;1.389022085;1.385518208;0.262137866;1;1.00009375;0.701314394;1;0.14417288;0.09629793;9.652629523;0.921492875;0.000408519;2.31828E-15;745.1332191;7.054871059;1.030452976;0.000476882;0.864335737;7.77367E-09;745.1332191;0.198764209;0.910668788;0.317018589;0.889160499;6.106774846;27.58150966;2.14414E-48;0.236541792;0.139667094;1;0.207914836;0.00577821;0.024865418;0.214495005;6.36965343;0.000798191;0.05983673;0.37863189;0.096639279;0.455250012;0.221263316;-0.323939686;0.999946118;0.220291425;745.1331948;150.6730917;0.721945356;0.734536828;2.7927E-220;50.03515177;0.094676081;0.27432859;1.0293E-101;18.10144883;74.52053778;9.05257E-20;0.510795831;0.849396853;3.0122E-131;10.6189076;0.491052022;0.314249015;0.59516988;0.164332753;0.830868514;1.503906082;0.063629063;0.064678107;0.244756691;0.129419586;27.49901563;0.401205182;0.155401309;0.774029912;0.216846165;0.146381039;0.565334321;0.185024086;0.005146785;0.21009409;0.002751664;0.427199126;0.830868513;0.07362071;6.08448E-09;2.03493E-24;31.29032836;0.264914565;4.224251669;3.49463E-49;0.062657099;4.29533E-63;20.43390693;0.402816341;0.841447787;0.966208889;10;0.442484983;0.210094093;-0.002751664;1.093910831;0.472845304;1.36932E-29;0.243085344;1;1;0.557766118;1.25384E-19;0.144172878;1;1;0.355216968;0.866993001;0.06961649;0.935688165;0.526315792;0.714285713;0.596153844;0.151112385;0.5;0.5;0.5;0.75;0.596153844;0.608695658;0.57777778;0.732142859;1.032110006;0.57870381;0.455429527;0.833320304;0.779999994
9;Erev17app;0.178121836;1.242337859;0.570956988;0.178121834;1;0.604786507;0.908883377;0.687152051;0.874420897;1.079911465;0.604062294;1.130630525;0.938658154;0.548348789;0.393669323;0.792793383;1;1;0.450134711;1.05482515;0.60252771;1.152055544;1;0.852687917;0.354320398;0.319564205;1;0.595887018;1;1;0.44717947;1.177718349;2.005974002;0.291387176;1;1;0.928829665;0.398412265;0.266050018;0.20586555;1.22406E-26;32.8888391;0.142138057;12.32473393;1.46808E-63;9.43807E-37;101.223391;1.801779643;0.552173825;0.75974298;4.448E-121;3.876642003;0.596711752;0.777756333;0.579344326;5.161216618;5.398760853;4.2486E-13;0.000168016;0.456371423;0.755763428;0.196718908;0.025605811;0.000123433;0.178121835;8.17367E-15;13.61172922;0.796415482;0.527491047;1.04409E-14;0.286965061;0.248521152;-0.767022933;0.999924673;0.179378021;745.1331378;18.92754242;2.26587031;0.532027111;2.84538E-20;5.358314533;0.546546172;0.319076628;5.03936E-10;5.45183854;7.132240312;0.391170221;0.693648;0.806441397;2.2091E-11;4.82635521;1.965073249;1.00874E-15;0.904269393;0.836164123;0.569999619;0.48571756;0.008601993;0.151011087;0.001076002;0.161519182;32.64783295;0.015581856;0.257726764;27.3730355;0.226283428;0.346989243;0.041473917;0.241228966;4.516443832;0.194613016;0.009266409;1.245797308;0.569999618;0.005608633;21.42494464;6.90274E-21;5.41646E-13;0.267361057;6.89521E-41;34.86586915;0.258943668;15.90388189;23.52219323;1.221966682;0.571621789;0.943212422;1;0.034180312;0.194613021;-0.009266409;-2.491697552;0.431157473;0.047315327;0.826503647;0.675332578;1;0.254305853;0.030219541;0.455810479;0.823264833;1;0.971092454;0.61901301;0.137650968;0.89928623;0.526315787;0.857142865;0.596153853;0.241454927;0.576923079;0.5;0.5;0.80769231;0.596153848;0.739130433;0.711111111;0.750000007;0.113461957;2.728476088;0.522035029;0.788577892;0.851851852
10;Erev17app;0.132117018;1.5055146;0.544598395;0.129512619;0.873767857;0.746050293;1.678685499;0.573066375;0.458658551;1.43196047;1;4.410188901;0.30658968;0.281005775;1.439486158;1;4.189918383;0.308825248;0.282436033;1.138266288;1;7.103092033;0.2901718;0.438980899;0.178418265;1.361101397;1;0.512869153;5.40540133;0.060023278;0.287348663;1.231468135;1.867574293;1.443736493;0.974624801;5.746186643;0.074594427;0.349280537;0.411588704;0.389357782;0.737221938;0.737221953;0.000229282;745.133219;745.133219;0.960653707;4.90627021;0.001782576;0.540591149;745.133219;0.052396679;1.354490486;7.12923E-18;0.669238675;0.333077205;19.27110598;8.13716E-14;2.008578742;0.055507347;1.090624311;0.577865472;0.624007472;0.054402366;0.007087644;0.127606134;15.12105095;1.55416616;0.925057967;0.564303784;0.144642235;0.506678251;0.365825448;-1.176042305;1.000103185;0.13162696;745.1332188;1.00038004;1.485055035;0.541622291;745.1332185;1.20769E-14;0.348310281;0.465833181;43.65976961;27.04505271;9.75126E-14;0.011877337;1.249895497;0.754089663;745.1332191;737.4222917;2.394490747;0.250064106;0.936613185;0.978201017;0.501258389;1.34376781;0.335865399;0.990529663;0.149734682;0.265162346;5.065324671;0.150407474;0.265323924;4.948624445;0.256213763;0.524895241;0.216402074;0.186977189;0.308264689;0.244406358;0.020317067;2.73416282;0.501258387;0.322941045;0.644968825;4.229305245;1.09262E-28;1.978814654;7.143283148;0.001605566;3.914976401;2.580757036;0.003168816;1.916094965;0.499676946;0.45235577;1;0.076026342;0.244406362;-0.020317067;1.025098318;0.470099721;1.49772E-20;3.859187646;0.65805763;744.5824418;0.999999998;0.095626512;4.044968188;0.643286028;0.393653911;1.46363696;0.612418725;0.634013861;0.206526893;0.657894743;0.761904758;0.596153851;0.230993411;0.55769231;0.5;0.5;0.807692307;0.596153847;0.60869565;0.622222212;0.732142857;0.018429484;0.066643357;0.130574406;0.148231924;0.818181829
