SUBJ ID;Experiment;Baseline;EV;EUT;SEM;SEU;PT-Edit1;PT-Edit2;CPT-TK;CPT-LBW;CPT-Prelec;Dual-1;Dual-2;Regret-Bell;Regret-LS;Salience;Aspiration;Below-mean Semivariance;Certainty Equivalence;CoefVar;DFT;Distracted DFT;Disappointment-Bell;Disappointment-LS1;Disappointment-LS2;Disappointment-DC1;Disappointment-DC2;Dual System-M;Dual System-LOB;Mean Alpha-target;Mean Below-target;Mean StdDev;Mean Target Semivariance;Mean Variance;Noisy Retrieval;Relative RV-General Power;Relative RV-Linear plus Power;Relative RV-Log;Relative RV-Multiplicative Power;Subjective Expected Pleasure;Odds-based SWU;UWS;Variance Skewness;Venture;RAM;TAX;Heuristic BTA;Heuristic CC;Heuristic EP;Heuristic RELM;Heuristic LL;Heuristic LEPE;Heuristic LPE;Heuristic Minimax;Heuristic Minimax Regret;Heuristic ML;Heuristic MPW;Heuristic Priority;Heuristic Similarity-Leland
1;Rieskamp_Positive;83.17766167;47.8509052;51.94524977;51.94524977;57.90279728;56.03959433;56.03959433;56.03959433;60.13214436;60.1335907;56.02361428;60.57409464;61.2894478;65.38374306;58.1336558;60.53321021;51.94524977;64.16134685;51.74468622;52.65059567;49.85989094;51.94336213;55.95180808;60.04615264;56.38685106;59.9220529;55.87450495;59.96884952;57.54630223;54.61909871;51.94524977;55.26493602;51.94524977;55.87450495;62.8266005;63.21244365;55.27095114;56.02955796;72.41302119;56.03959433;48.93242672;56.00359204;59.50676213;64.2123034;60.13393889;82.26231307;70.04283732;81.04295796;43.64256401;86.67100221;80.47604476;75.62322838;86.67100221;81.04295796;73.68416513;69.28707832;87.00514168;65.665199
2;Rieskamp_Positive;83.17766167;61.91177596;56.36607205;65.6781493;61.5229737;60.46041661;61.87274119;60.46041661;64.47400828;64.50395735;55.51979423;55.78147298;74.13336458;70.83420989;64.22489686;67.30586407;57.84456961;73.0604356;62.41115858;64.9765724;69.07091697;59.52955868;68.63722637;63.38091895;69.71535032;66.65280416;67.79729733;64.55476117;67.85843681;64.09851553;60.66271663;63.92160745;58.65938056;60.46041661;66.72325946;76.51385834;58.52315627;59.01352176;83.46519776;60.46041661;62.91636977;62.75372512;60.80880392;61.99375759;63.4009309;83.95812008;83.5890286;85.20910914;58.17803187;85.59753648;84.8557446;86.67100221;85.59753648;85.20910914;77.39806081;69.28707832;84.8557446;67.59265888
3;Rieskamp_Positive;83.17766167;49.18990548;44.72636213;44.65224498;44.10918256;41.88808837;43.37526081;41.88808837;44.10918256;44.12251237;44.1276166;49.8608926;61.17673333;52.21611079;44.9146978;38.67902474;44.57831276;47.35984496;49.89448197;66.81777045;62.00784482;49.16314773;49.46459913;44.86521806;58.21674677;59.71198258;41.21196811;44.01059572;54.68372278;53.07945958;48.93785385;52.82683777;47.99406247;39.91625116;56.51289607;64.93468167;47.80712233;48.7675125;67.40187846;40.014838;56.0246388;52.08840703;48.81917278;47.79552234;44.10918256;61.01185459;78.53891125;72.37986349;51.13222773;87.00514168;83.97503256;84.8557446;84.8557446;72.37986349;83.97503256;81.78794125;81.78794125;63.29705
4;Rieskamp_Positive;83.17766167;87.27200623;89.98205743;91.36635079;98.17074656;94.07640199;94.07640199;94.07640199;98.17074656;98.17074656;87.27200623;87.27200623;103.6493845;104.3739495;98.16538835;101.9743156;91.36635079;87.27200623;91.36635079;91.36295494;95.46069535;91.12654105;95.46069535;96.98343012;100.9081542;98.1511075;94.07640199;98.17074656;99.55503992;95.46069535;91.36635079;95.46069535;91.36635079;94.07640199;102.2650911;103.6493845;95.46069535;94.07640199;117.5901022;94.07640199;91.36635079;95.44476457;98.17074656;94.07640199;98.154828;87.27200623;87.27200623;87.27200623;87.27200623;87.27200623;87.27200623;87.27200623;87.20532721;87.27200623;87.00514168;87.00514168;86.20215638;103.6493845
5;Rieskamp_Positive;83.17766167;62.84539681;62.6910479;55.31975343;60.5946808;57.67776558;57.6819359;57.67776558;60.32854508;60.13598609;57.7684766;60.21903952;71.48866362;73.55261033;68.32851573;69.71515413;61.80555125;58.40903797;64.57843881;73.20842823;50.16465259;63.30962232;63.13583579;64.05930396;75.41998809;76.40268071;55.73361759;58.79685314;67.35009618;66.62509716;63.47906836;67.93928574;64.06925071;54.70250858;74.11235252;78.09407354;65.94647362;66.4782947;83.57730876;56.50473428;62.7309782;68.16359528;63.83855158;58.50433018;60.59907884;74.59814117;62.35472574;67.70636553;62.126672;87.27200623;86.67100221;82.95327594;80.47604476;67.70636553;83.97503256;79.01410135;75.62322838;59.7657725
6;Rieskamp_Positive;83.17766167;49.60421764;53.6985622;53.64155364;61.58888179;57.68955314;57.68955314;57.68955314;61.15183695;61.11653721;53.00361214;57.26879254;64.87704835;68.97366711;58.01066539;59.30436516;53.68549431;60.18086174;53.06970863;62.01786683;66.06137209;52.97972245;57.74398104;61.8383256;58.91407715;62.91975272;57.41757996;61.52588021;55.21002059;54.39390073;53.02471594;56.11213493;53.64009125;57.43153565;65.92535844;65.29749358;57.74774366;57.79290676;75.40705519;57.7358982;53.50333032;57.73443582;61.63544788;61.19230127;61.83024276;83.95812008;74.87666318;81.04295796;48.35176759;87.27200623;82.95327594;81.78794125;85.59753648;81.04295796;77.39806081;73.68416513;86.20215638;74.83101493
7;Rieskamp_Positive;83.17766167;45.40615311;48.31775799;49.03359134;48.75186984;51.95545732;52.622443;51.95545732;55.18141294;55.12008073;46.50079339;51.56957283;61.40313157;64.33488786;55.95795535;57.57544264;48.48368882;63.44284651;47.43932354;53.69087466;49.36470981;47.29391176;52.9161139;56.19055293;51.76591089;54.67264924;52.40267181;56.0172844;53.48109808;51.54971547;47.2497442;52.31235739;48.7036087;51.92293984;56.90801078;60.90246112;51.06051868;51.16785901;64.7041332;52.06318393;46.55968282;52.79795326;51.35537957;54.68948251;55.86306955;83.95812008;70.04283732;79.63101977;40.68295523;82.95327594;79.01410135;80.47604476;84.8557446;79.63101977;79.01410135;75.62322838;81.78794125;35.81900982
8;Rieskamp_Positive;83.17766167;57.80492669;61.14369059;61.89927125;62.85091277;65.23803515;65.99361582;65.23803515;67.99028468;67.54168986;57.12275061;58.27675934;68.94578757;65.46325862;62.95887898;68.28326722;61.51627377;74.188182;59.8164791;57.39139179;61.48573635;59.48414735;65.50155275;68.11261186;65.29656304;66.74245397;65.99361582;69.33237971;63.36643319;61.25941535;60.5822914;62.37298693;60.76769178;65.23803515;70.82011975;73.7991521;64.29274238;65.23581385;82.82954671;65.23803515;56.27390596;64.86203634;64.00737075;65.31143974;69.33237971;83.95812008;81.3881309;84.3839598;51.06489058;87.00514168;81.78794125;84.8557446;86.20215638;84.3839598;66.81313417;71.57456192;86.67100221;77.57287401
9;Rieskamp_Positive;83.17766167;61.31349415;40.17000089;59.75439922;42.44107413;39.35637675;45.24161296;39.35637675;42.44107413;41.64990808;52.93438491;54.96996033;74.96231572;44.47888102;42.21017082;42.50327033;49.12847762;57.62163439;60.70781714;56.35657707;45.52529806;58.6938822;58.5684193;39.98003289;59.29476465;46.09975969;38.75345389;43.02383562;64.80739501;62.65639501;56.95709732;63.05931244;55.21080718;38.92949106;48.89289787;76.67811913;44.4174856;44.26238197;74.30633956;38.34672957;59.54010402;59.30515175;48.35869001;48.81485002;42.38116119;74.59814117;74.87666318;74.44400824;54.79423231;87.20532721;84.8557446;85.59753648;81.78794125;74.44400824;82.95327594;77.39806081;73.68416513;58.53798207
10;Rieskamp_Positive;83.17766167;71.75222552;71.64419185;75.84657009;77.41092283;75.73853641;77.97360537;75.73853641;79.81120148;79.61309178;68.96648785;68.61031604;81.44821886;81.52221873;79.36064679;79.74789184;72.50758933;79.96491435;73.66841867;83.98479766;88.07914222;72.58366565;79.18019422;77.95455717;83.70432994;83.82354333;79.53195306;79.83288097;77.3626163;75.45206199;72.83885754;76.08523967;71.92414448;75.73853641;83.03884358;87.51049423;75.17387981;75.20134206;94.83608257;75.73853641;71.07284908;76.01848905;77.01896692;76.65969698;78.96920416;87.23199556;81.3881309;86.84776876;69.15128468;84.8557446;83.97503256;86.20215638;84.8557446;86.84776876;71.57456192;66.81313417;83.97503256;77.57287401
