SUBJ ID;Experiment;EV__epsilon;EUT__epsilon;EUT__gamma;SEM__epsilon;SEM__tau;SEU__delta;SEU__epsilon;SEU__gamma;SEU__tau;PT-Edit1__epsilon;PT-Edit1__gamma;PT-Edit1__tau;PT-Edit2__epsilon;PT-Edit2__gamma;PT-Edit2__tau;CPT-TK__epsilon;CPT-TK__gamma;CPT-TK__tau;CPT-LBW__delta;CPT-LBW__epsilon;CPT-LBW__gamma;CPT-LBW__tau;CPT-Prelec__beta;CPT-Prelec__epsilon;CPT-Prelec__gamma;CPT-Prelec__tau;Dual-1__epsilon;Dual-2__epsilon;Regret-Bell__alpha;Regret-Bell__beta;Regret-Bell__epsilon;Regret-Bell__kappa;Regret-Bell__lambda;Regret-LS__alpha;Regret-LS__beta;Regret-LS__epsilon;Regret-LS__gamma;Regret-LS__kappa;Regret-LS__lambda;Salience__alpha;Salience__beta;Salience__epsilon;Salience__gamma;Aspiration__alpha;Aspiration__beta;Aspiration__delta;Aspiration__epsilon;Aspiration__gamma;Below-mean Semivariance__epsilon;Below-mean Semivariance__kappa;Certainty Equivalence__epsilon;CoefVar__epsilon;CoefVar__kappa;DFT__epsilon;DFT__gamma;Distracted DFT__epsilon;Distracted DFT__gamma;Distracted DFT__mu;Disappointment-Bell__epsilon;Disappointment-Bell__nu;Disappointment-LS1__alpha;Disappointment-LS1__epsilon;Disappointment-LS1__kappa;Disappointment-LS2__alpha;Disappointment-LS2__epsilon;Disappointment-LS2__gamma;Disappointment-LS2__kappa;Disappointment-DC1__alpha;Disappointment-DC1__beta;Disappointment-DC1__epsilon;Disappointment-DC1__kappa;Disappointment-DC1__lambda;Disappointment-DC2__alpha;Disappointment-DC2__beta;Disappointment-DC2__epsilon;Disappointment-DC2__gamma;Disappointment-DC2__kappa;Disappointment-DC2__lambda;Dual System-M__epsilon;Dual System-M__gamma;Dual System-M__mu;Dual System-LOB__epsilon;Dual System-LOB__gamma;Dual System-LOB__kappa;Dual System-LOB__mu;Mean Alpha-target__alpha;Mean Alpha-target__delta;Mean Alpha-target__epsilon;Mean Alpha-target__kappa;Mean Below-target__delta;Mean Below-target__epsilon;Mean Below-target__kappa;Mean StdDev__epsilon;Mean StdDev__kappa;Mean Target Semivariance__delta;Mean Target Semivariance__epsilon;Mean Target Semivariance__kappa;Mean Variance__epsilon;Mean Variance__kappa;Noisy Retrieval__epsilon;Noisy Retrieval__gamma;Noisy Retrieval__mu;Relative RV-General Power__beta;Relative RV-General Power__epsilon;Relative RV-General Power__lambda;Relative RV-General Power__tau;Relative RV-General Power__theta;Relative RV-Linear plus Power__beta;Relative RV-Linear plus Power__epsilon;Relative RV-Linear plus Power__kappa;Relative RV-Linear plus Power__lambda;Relative RV-Linear plus Power__nu;Relative RV-Log__alpha;Relative RV-Log__epsilon;Relative RV-Log__kappa;Relative RV-Multiplicative Power__epsilon;Relative RV-Multiplicative Power__tau;Relative RV-Multiplicative Power__theta;Subjective Expected Pleasure__alpha;Subjective Expected Pleasure__beta;Subjective Expected Pleasure__chi;Subjective Expected Pleasure__epsilon;Subjective Expected Pleasure__kappa;Subjective Expected Pleasure__lambda;Subjective Expected Pleasure__psi;Subjective Expected Pleasure__rho;Subjective Expected Pleasure__upsilon;Odds-based SWU__epsilon;Odds-based SWU__gamma;Odds-based SWU__tau;UWS__iota;UWS__mu;Variance Skewness__epsilon;Variance Skewness__nu;Variance Skewness__phi;Venture__beta;Venture__epsilon;Venture__gamma;Venture__tau;RAM__epsilon;RAM__gamma;RAM__tau;TAX__epsilon;TAX__gamma;TAX__kappa;TAX__tau;Heuristic BTA__omega;Heuristic CC__omega;Heuristic EP__omega;Heuristic RELM__kappa;Heuristic LL__omega;Heuristic LEPE__omega;Heuristic LPE__omega;Heuristic Minimax__omega;Heuristic Minimax Regret__omega;Heuristic ML__omega;Heuristic MPW__omega;Heuristic Priority__omega;Heuristic Similarity-Leland__alpha;Heuristic Similarity-Leland__beta;Heuristic Similarity-Leland__delta;Heuristic Similarity-Leland__gamma;Heuristic Similarity-Leland__omega
1;Rieskamp_Positive;0.187498256;0.187498259;1;0.187498258;1;0.759967555;0.223748234;1;0.952238595;0.187498255;1;1;0.187498257;1;1;0.187498257;1;1;0.990729258;0.187818414;1;1;0.99686439;0.187356215;1;1;0.13139229;0.101533578;0.666980982;0.666203874;0.000876615;745.1332191;14.61410111;0.666867565;1.6767E-16;0.000900444;0.997821555;745.1332191;1.25602E-24;131.1779709;1.18959155;0.252823879;0.985292022;5.4282E-14;3.368393776;0.985200056;0.641186446;0.694712071;0.187498257;1.37794E-15;0.087389581;0.190369394;216.5090739;40.7489169;1;44.28331737;0.912949252;0.138625214;0.187834827;-0.009799465;0.999917181;0.187180001;745.1332153;0.999917181;0.18718;1;745.1332183;119.91501;5.92265E-18;0.23606368;8.408E-236;35.71332092;79.337848;2.19456E-12;0.55479198;0.831000903;2.5112E-128;12.8891182;0.192610351;1;0.05848008;0.145605546;1;0.284143517;0.136126238;1.38591E-16;0.968437634;0.152222915;9.408177751;0.011215977;0.186872364;728.7309197;0.187498261;2.82814E-15;0.011524651;0.187425723;599.1019503;0.187498257;9.37232E-17;0.192610351;1;0.05848007;742.693766;999999.9074;4.796056681;8.38617E-06;0.991752018;1.686357633;193.188898;0.999978915;0.000436703;0.406347197;1.93278E-13;0.192151892;745.1332191;0.187979004;1;0.981821419;0.249473532;2.51298E-61;10.09277031;0.017119295;413.6331404;7.70194E-46;9.29482E-14;4.69822E-18;1.72588E-64;0.187498255;1;1;5;0;0.186391795;0.000474332;-1.379369639;0.105197277;0.205081317;1;0.082364282;0.13139229;1;1;0.187498258;1;1.31716E-30;1;0.720000007;0.944444443;0.66101695;0.396201035;0.549999999;0.666666664;0.716666666;0.550000006;0.661016956;0.733333335;0.766666665;0.533333334;2.379439554;0.060254114;0.08058677;0.850413058;0.901960784
2;Rieskamp_Positive;0.112052603;3.647142002;0.394742183;0.115866637;0.845076387;0.842024653;3.964841766;0.384444756;1;3.647141812;0.394742194;1;0.53148191;0.703900837;0.651624212;3.647141633;0.394742199;1;0.889142289;2.783267553;0.437005265;1;1.072720133;2.989386732;0.424944299;1;0.13379552;0.120309998;77.5469626;0.046360839;0.07708249;2.3718E-145;11.46842127;9.195923105;0.09859478;1.210223371;0.515259919;2.39238E-07;0.779638789;18.87231095;1.103186933;5.734307524;0.339705491;0.210404774;2.97136E-06;0.74358748;5.095548495;0.322768645;0.137174244;1.969935599;0.061887248;0.123526253;745.1332191;23.45124681;1;23.45124654;1;5.64874E-16;0.129403982;-0.789143711;4.823658282;0.11719362;7.41937E-08;3.30266E-15;4.130761548;0.366518393;0.123200697;3.496921283;3.496924758;0.128637467;5.96155057;5.961475256;1.144518313;6.62726E-27;14300.02314;0.000456659;1.351458284;0.00049683;1.72204219;0.258028097;0.937051178;3.647142195;0.394742177;2.51427E-14;0.033529665;0.206964977;0.011490333;0.111714677;15.12362752;0.023542567;0.120830238;745.1332191;0.129151562;0.337175865;0.016545416;0.125486252;745.1332191;0.129473505;1.031109615;3.647141829;0.394742191;6.53455E-16;9.67629E-07;999993.9686;1.7407E-13;6.75315E-06;0.835943873;745.1332191;0.019269594;1;0.960725748;7.895000715;6.201800178;41.67469688;1.089609104;999998.892;6.72886E-06;0.999994011;33.70157896;2.10638E-31;3.355268224;0.128988393;3.92545E-63;3.70949E-31;3.355298137;2.340908328;2.340634881;3.647141651;0.394742198;1;2;1.39392E-16;0.129473506;-0.010311096;0.707609395;0.210221677;2.263837495;0.499522496;0.204031225;0.625083498;0.684256393;1;2.69496043;0.438759546;0.114230632;0.879194712;0.679999999;0.722222225;0.593220342;0.275111685;0.583333332;0.600000005;0.550000001;0.583333335;0.593220336;0.7;0.766666665;0.599999999;0.011281791;0.832588772;0.783349432;0.621468966;0.866666666
3;Rieskamp_Positive;0.178427982;3.559952119;0.473891581;0.233792523;0.520185085;1;2.41063762;0.613783888;0.556541263;1.31393569;0.711090287;0.688463812;0.454464587;0.909679234;0.600929422;1.313935656;0.711090294;0.688463814;1;2.410637588;0.613783892;0.556541249;0.758353049;4.215487295;0.515622855;0.578982289;0.202177771;0.147643448;1.404128642;10.65795278;0.002434326;17.76444241;7.77427E-18;1.68318142;12.66460675;0.001343273;0.589223481;745.1236502;5.96633E-11;2.99753E-16;0.641798018;0.290512115;0.915803231;0.427392772;4.16712E-12;0.508140202;30.36899029;0.201800217;0.229118802;1.41205716;0.147042828;0.202779504;745.1332191;3.652542112;0.638989157;17.09832947;0.670214352;0.389407026;0.208617757;-0.428020142;1.000753492;0.219057757;745.1332189;1.000684746;2.470552774;0.600958753;745.1332184;1.84857E-60;6.7636914;0.208306324;14.87033842;4.96957E-12;1.06103E-14;0.000456218;3.190325091;0.504571502;745.133219;743.649582;3.820322024;0.389624378;0.934654466;0.678037442;0.627913671;1.937901122;0.312785508;13.01944441;0.012823537;0.20284504;4.218693692;0.536842105;0.184885682;31.37482771;0.21301636;0.20757765;0.522582278;0.193720493;0.742772883;0.209737877;0.567408149;2.402997638;0.62791367;0.342064946;0.025704969;17.79494067;3.06532E-13;0.235869878;0.407551274;745.1332191;0.171945532;3.34412E-10;4.104301096;-37.85381036;28.85564181;301.1085052;0.535830397;3.08639999;0.49983671;0.396848799;1.623635028;9.61606E-31;1.93394E-29;0.132361864;0.20442122;1.09579E-14;6.025981987;30.43371506;3.70794E-10;2.410637651;0.613783887;0.556541255;4;1.12317E-15;0.209737874;-0.005674082;-3.616471248;7.40407E-17;1.380850724;0.67126323;0.291564582;0.238981313;1;0.622375168;2.410637704;0.613783882;9.24197E-17;0.556541255;0.960000001;0.833333332;0.745762716;0.326018236;0.533333328;0.616666666;0.600000004;0.600000004;0.74576271;0.616666656;0.649999995;0.650000005;1.583842982;0.962500795;0.350371816;0.811983464;0.905660378
4;Rieskamp_Positive;0;33.32588756;1.71656E-16;6.55075E-18;0.818457292;1;16.34246495;1.72804E-16;6.25361E-08;15.9191769;4.21271E-16;0.58606764;7.961469096;1.40911E-15;0.000340316;16.03766812;1.13668E-15;0.127572686;1.18069E-14;8.013295029;5.8044E-15;0.453838195;0.413517497;63.63251779;2.59949E-16;6.62075E-27;0;0;0.426778553;0.394209541;1.29339E-18;0.273762297;1.106136582;1.74167E-12;0.00371822;27.52645518;2.44993E-17;2.80776E-28;0.04928502;5.824887061;0.001547912;6.869136203;0.001592164;2.8766E-05;2.66354E-19;0.01709241;10025.78476;1.22593E-16;3.03699E-18;0.280179732;0;1.7078E-18;2.176316538;2.37508E-12;2.26475E-09;5.7704E-16;0.97734446;0.94626779;0.000387044;38.57550017;0.024319324;1.57419E-18;1.614775151;2.14176E-23;43.7218694;2.51807E-15;0.011401937;0.334643981;1.125358641;0.002597571;745.1332191;14.44847293;8.17133E-57;0.000835224;860.4699042;5.54492E-16;1.919180201;1.969901093;16.11072545;2.03382E-16;1;3.845269781;1.22358E-16;3.603225529;0.290620142;0.737657963;0.626108197;4.66556E-18;0.626309119;0.531644015;1.84286E-18;0.042607313;3.85802E-18;0.010134992;0.651999773;2.71508E-18;0.20481273;1.31814E-18;1.590757778;32.63367836;1.71542E-16;7.71213E-11;0.086293284;11.64048513;0.009803634;7.15181E-24;5.99079E-16;5.596670509;1.12369E-15;0.402318844;0.036533059;0.819405539;0.909778506;2.99655E-16;1.135342583;32.28790056;1.73259E-16;1.85244E-16;6.0508E-18;1.11102E-20;0.006337386;0.005265439;9.67343E-26;1.33273E-22;1.0129E-09;745.1332191;1.74517E-08;15.83037853;3.69576E-17;0.159215595;16;1;1.14996E-06;38.57550017;-25.90343198;2.12526E-24;39.44199559;3.94954E-17;1.80417E-16;16.0235086;8.77834E-16;4.05709E-12;27.21664634;3.78843E-16;0.004280073;1;0.5;0.5;0.5;6.93889E-18;0.5;0.500000003;0.5;0.516666672;0.5;0.53333333;0.533333337;0.566666672;0.443340251;0.127272853;0.836582787;0.579378805;0.5
5;Rieskamp_Positive;0.108179367;1.395858389;0.524029408;0.170767406;0.305460321;0.984712129;0.846505874;0.709285767;0.343243053;0.192653656;0.982710462;0.532017979;0.177265471;1;0.527914939;0.192653655;0.982710462;0.532017979;0.817767628;0.440932904;0.835362482;0.345907303;0.90949945;0.486842877;0.816125044;0.346822147;0.123367703;0.102842965;87.10086159;8.26541E-05;0.093556932;3.1728E-155;1.39217E-13;15.21071393;1.893275862;0.372000085;0.75034095;7.20188E-19;2.67961E-28;26.55355318;0.543390365;0.080039813;1;31.28734801;6.2299E-13;0.208333343;0.092385006;1;0.12311323;1.587493032;0.1052719;0.113602702;745.1332191;0.795431174;0.430014928;9.41096087;0.560237348;0.484718982;0.117466808;-0.620602614;1.001022974;0.139475807;745.1332191;1.000917474;0.902524634;0.656928349;745.1332188;0.202122983;0.212522824;0.119374838;745.1332082;730.3460982;1.677142214;1.671705826;6.271665209;0.291578994;139.9013518;140.3942713;0.930708894;0.617251774;0.891518537;0.00947585;0.712998962;72.64542842;0.359955556;4.53592E-16;0.209769816;0.113137496;15.08641975;0.280487805;0.111757015;62.54228614;0.119170319;0.284514581;0.35944169;0.110621747;1.578819162;0.114761218;0.648444962;0.945638188;0.712998962;0.524059164;6.99378E-07;517017.5898;1.43404E-21;1.07707E-05;0.752519833;744.5890488;0.034298402;1;0.996193264;36.40327013;5.968810092;32.82860654;0.676936867;25.65225196;0.130277282;0.924585592;10.22941485;0.765312605;2.33257E-14;0.08264187;3.33129E-17;1.697232022;1.124114992;1.70682E-15;0.642537347;0.84253511;0.709049437;0.346848798;10;0.198260115;0.114761218;-0.00648445;1.252249972;2.20952E-17;0.435098091;0.806841572;0.622328051;0.177303769;1;0.404839784;0.842535091;0.709049441;1.56669E-15;0.34684879;0.839999999;0.999962052;0.779661019;0.237694542;0.5;0.550000004;0.633333329;0.666666669;0.779661019;0.616666662;0.683333332;0.716666662;1.377227517;1.080966428;0.55872438;0.761245495;0.923076925
6;Rieskamp_Positive;0.175700207;0.175700208;1;0.176688545;0.945367656;0.905228815;0.184070199;1;0.919200945;0.177507285;1;0.915499708;0.177507286;1;0.915499717;0.177507285;1;0.91549971;0.829894315;0.184094517;1;0.97298014;1.112296537;0.18471986;1;0.931020665;0.146440064;0.114210505;1.12765891;7.2631E-26;0.047447857;1.289365622;22.79538937;1.096739628;1.06988E-13;0.04380676;1;1.654408851;23.4513535;4.886198047;1.300287509;1.037997762;0.704048381;7.799924311;4.169669577;1.16142E-16;0.180891537;1;0.176182258;0.053999086;0.099570921;0.180844914;396.3194863;23.83010055;0.973551127;25.53327391;0.976398659;0.022542204;0.183716181;-0.192253159;1.00006426;0.176519008;745.1332144;1.000064261;0.176519099;1;745.1332189;112.984634;0.70214739;0.217195336;5.0745E-222;1.578838;3.497784739;3.492876178;2.288622178;0.553130477;2.137971477;2.161030179;0.199115396;0.869985902;0.158159012;0.158597865;1;0.106745546;0.485320855;2.25311E-22;2.14967E-16;0.180891534;11.9695943;0.017432802;0.180251336;745.1332191;0.184195304;0.088844472;0.012884086;0.176630972;745.1332191;0.17711495;0.062443198;0.183743771;1;0.089432098;745.1332191;0.175992918;2.297991038;1;0.798490194;133.6717515;3.476384523;0.999971794;0.015174799;0.992356071;5.06737E-12;0.175958421;745.1332191;0.175700214;1;1;3.75379E-38;1.05926E-47;27.92641968;0.180481735;3.49919E-10;15.20797225;0.808281143;3.83031E-54;1.056257666;0.176688543;1;0.945367642;3;1.57131E-16;0.177114951;-0.000624432;-0.285942277;0.058350714;0.184949563;1;0.073360802;0.146440064;1;1;0.176688544;1;1.81993E-25;0.945367656;0.680000007;0.888888888;0.661016944;0.3503834;0.5;0.633333337;0.649999996;0.583333338;0.661016946;0.700000002;0.733333334;0.566666669;0.949313857;0.401010611;0.397754294;0.62477833;0.860000001
7;Rieskamp_Positive;0.205686621;0.514483521;0.824643466;0.209350193;0.866739306;0.593640421;0.37475466;1;0.745362867;0.459338295;0.852277266;0.870213526;0.223094433;0.991299986;0.80809428;0.459338299;0.852277268;0.870213533;0.7606918;0.233731888;1;0.913395412;1.151710417;0.234942894;1;0.862734327;0.185093144;0.139214516;1.155195343;1.67462E-12;0.001432786;80.69583058;60.09160097;1.127814415;1.128388344;0.000447963;0.841398355;745.1332191;6.0721E-07;24.65303031;0.907093597;0.276209549;0.934541069;8.829564536;0.053395929;0.078671945;0.20475765;1;0.215794117;0.42076857;0.08953412;0.227203939;617.7254122;19.70790765;0.853988014;15.42828224;0.687830261;0.134028917;0.230550754;-0.286872547;9.638016259;0.207057019;4.57338E-17;1.209539026;0.509747043;0.828786856;0.313801659;100.8631313;0.157737833;0.323167091;5.0845E-200;19.88338494;70.72003187;1.21521E-24;0.888026794;0.795170515;9.598E-111;10.67932653;0.975529323;0.371589818;0.794519037;0.407833594;0.839676518;0.176958452;0.325495926;1.86121E-15;0.078524419;0.204757652;8.882960117;0.086206897;0.211913012;111.9745287;0.232912244;0.138126977;0.011568152;0.208500116;714.8946596;0.215723302;0.198904338;0.503494076;0.839676524;0.093311556;745.1332178;999999.9997;5.786423834;1.11615E-05;0.24953312;726.174669;0.08707012;1;0.997707895;38.57531291;0.600498098;6.580066838;1.772499005;3350.9265;0.003073581;0.999319261;0.568762394;3.30327E-36;22.63617508;0.085530053;30.13660727;24.1252644;0.205584009;1.61763E-43;52.2700005;0.506521744;0.831614333;0.88521692;6;1.37424E-16;0.215723301;-0.001989043;2.777544755;0.240779021;0.312068717;1;0.259022337;0.185093145;1;1;0.442314097;0.857623909;0.077009326;0.798440709;0.680000005;0.944444447;0.677966097;0.44326387;0.633333333;0.68333333;0.666666668;0.599999994;0.6779661;0.683333331;0.716666662;0.650000002;6.739227303;1.304331339;0.36742628;0.955276425;0.999033403
8;Rieskamp_Positive;0.130361507;0.356336769;0.80163064;0.130361508;1;0.601570275;0.274464333;0.907489006;1;0.356336809;0.80163062;1;0.130361508;1;1;0.356336797;0.801630624;1;0.688277822;0.140245475;1;1;1.368085866;0.140029871;1;1;0.126285308;0.110223517;0.481060607;0.475324336;0.001217376;745.1332191;17.82398636;4.87885E-34;1.26359E-09;0.016066368;1.28489E-15;303.1041565;3.74908E-46;136.8871051;1.461648042;0.839929242;0.720134008;14.42130585;7.42983E-16;0.005153458;0.123546368;1;0.132658889;0.368184947;0.058678959;0.136527653;745.1332191;4.35212074;0.585619394;4.352120771;0.585619398;7.59875E-17;0.140360775;-0.435920485;0.999737942;0.128330497;745.1332176;0.99953969;0.581730621;0.698997506;745.1332174;108.1108841;0.127476914;0.159265755;3.1385E-214;35.10798358;134.6956189;6.56593E-32;2.724327193;0.449045043;2.8261E-108;2.019987506;0.130361508;0.013177606;4.82449E-13;0.356336767;0.801630639;4.62807E-13;0.000883784;4.36968E-23;1.04327E-16;0.127626321;15.08641975;0.023542567;0.133557612;745.1332191;0.13773634;0.154643728;0.016545416;0.132572654;745.1332191;0.134931282;0.345164647;0.356336771;0.801630638;6.03171E-16;745.132894;999997.5495;3.871306249;5.6701E-06;0.999779811;745.1332191;0.125763481;9.86384E-22;4.111653692;-38.57550017;0.01400259;0.227571219;745.1332191;0.264470294;0.860765127;0.796436243;5.40236E-50;1.30994E-53;16.49443857;0.123450539;20.96305639;1.05953E-19;0.170647326;8.15955E-32;35.95490552;0.356336796;0.801630625;1;3;6.30527E-18;0.134931281;-0.003451646;1.989441861;0.468379104;0.182175148;1;0.183889125;0.12628531;1;1;0.356336766;0.801630645;9.64602E-22;1;0.68;0.777777771;0.610169489;0.33279048;0.53333333;0.650000005;0.599999996;0.566666672;0.610169487;0.783333334;0.749999998;0.549999999;0.361606794;3.66462E-06;7.67047E-08;0.800572109;0.824561407
9;Rieskamp_Positive;0.114585596;999999.5366;1.20014E-05;0.146049781;0.508203861;1;428.6711802;0.03270755;0.739613752;999958.2735;1.55164E-05;0.826187669;0.972818239;0.711599274;0.528876726;999953.0623;1.55165E-05;0.826187414;1;428.671063;0.032707557;0.739613769;0.764906285;999999.5459;1.71529E-05;0.721480063;0.146804131;0.123755186;15.89596906;0.972443941;0.054566384;1.254E-28;1.037743333;78.6908692;1.327561189;2.858279542;0.491297695;1.79135E-52;0.936410682;30.05866267;0.78923615;999998.853;1.13976E-05;3.45998E-41;1.958972718;1.15325E-17;39.00102102;0.219427197;0.177963156;2.766683645;0.107871967;0.13190896;745.1332191;0.404946227;0.135315595;2.04518409;0.307871766;0.157626255;0.133432756;-0.786381005;10.40724144;0.161835877;4.54825E-18;3.04549273;40.24616158;0.195132553;1.554111798;2.14909E-31;6.043562642;0.189308081;39.97378648;2.43271E-10;0.09963249;2.648037225;181.18297;0.097030217;0.113085192;2.028710624;999999.8652;6.21E-06;0.999999775;26.72919385;0.034403723;13.45773205;0.102182881;3.16822E-15;0.305264767;0.119459864;15.08641975;0.189473684;0.128979168;92.58461735;0.141980062;0.405249917;0.336650081;0.132097827;1.799831459;0.140835407;1.211492558;423.2002843;0.034403716;0.17370807;0.064579891;999861.8984;0.016568562;1.35562E-05;4.10829E-06;744.1780695;0.033714846;2.53291E-15;0.995937871;38.57550017;745.1332191;8867.652749;1.012012754;999999.8041;1.20241E-05;1.21604E-05;3.125714712;2.43236E-13;0.173801726;0.143344328;0.000217219;0.001335803;3.795666172;35.02735952;9.77347E-06;428.6708637;0.032707569;0.739613749;3;0.018469042;0.140835406;-0.012114926;-0.993520485;9.88993E-23;999998.3087;1.20014E-05;3.43864E-20;4.003832423;0.424850179;0.725032458;363.3690165;0.037704444;0.001257797;0.723412926;0.839999999;0.888888889;0.728813559;0.291118723;0.516666664;0.599999996;0.583333334;0.65;0.728813557;0.633333328;0.700000004;0.733333336;1.088357949;0.339334724;0.038111563;0.747967381;0.924528305
10;Rieskamp_Positive;0.074775729;1.632793411;0.436189342;0.074775727;1;0.775437988;1.7530828;0.423219344;1;1.632793407;0.436189341;1;0.217739376;0.756680609;1;1.632793322;0.43618935;1;0.920188945;1.318297617;0.470858795;1;1.215655488;0.849126531;0.54386048;1;0.080007958;0.074442551;16.15476426;0.09333643;0.050659481;4.6971E-29;13.47857881;84.02286708;0.162553906;0.28247249;0.584519207;2.58668E-83;4.891554028;22.63286809;1.232192975;4.555437195;0.303438994;19.49435971;7.61809E-22;0.079950456;0.100784115;0.905842108;0.08247959;1.686048222;0.041386974;0.07835545;745.1332191;3.725919455;0.677356692;3.72591925;0.677356682;1.60251E-16;0.078143736;-0.818839896;0.193793736;0.068175521;4.549547125;0.49230946;3.071935515;0.318167148;0.894278358;4.251276899;4.251276899;0.079552949;0.347891376;0.347891887;1.060438481;1.81605E-10;999968.7108;3.47637E-06;1.351370522;5.15783E-06;0.672873442;0.253196435;0.892893946;1.632793264;0.436189357;4.26594E-16;0.382547817;3.77988E-16;0.079563809;0.07827248;15.08641975;0.116666667;0.079939857;150.3629876;0.080034208;0.364347576;0.131293508;0.080740731;11.83321575;0.07950416;1.051878891;1.632793363;0.436189345;1.82932E-16;745.1332191;30.04737075;2.60934829;0.080629784;0.94615056;745.1332191;0.074260297;3.03582E-12;4.100671821;-37.50244736;1.434890632;5.346995543;2.534998776;620308.8771;5.93246E-06;0.999995046;3.61514E-26;4.30731E-25;4.66432E-14;0.021282411;265.8612541;2.92715E-36;3.694858569;9.85365E-39;2.12294E-05;1.632793314;0.436189352;1;10;0.316396514;0.07950416;-0.010518789;1.629463696;0.343689762;1.310969213;0.486849859;0.089116003;0.244626963;0.767168439;1;1.550351066;0.432662341;0.128599712;1;0.520000004;0.777777779;0.54237288;0.206278337;0.600000001;0.61666667;0.566666661;0.600000006;0.542372888;0.750000001;0.783333338;0.616666675;0.2120186;0.42402637;0.053979885;0.633763358;0.824561404
