SUBJ ID;EXPERIMENT;Baseline;EV;EUT;SEM;SEU;PT-Edit1;PT-Edit2;CPT-TK;CPT-LBW;CPT-Prelec;Dual-1;Dual-2;Regret-Bell;Regret-LS;Salience;Aspiration;Below-mean Semivariance;Certainty Equivalence;CoefVar;DFT;Distracted DFT;Disappointment-Bell;Disappointment-LS1;Disappointment-LS2;Disappointment-DC1;Disappointment-DC2;Dual System-M;Dual System-LOB;Mean Alpha-target;Mean Below-target;Mean StdDev;Mean Target Semivariance;Mean Variance;Noisy Retrieval;Subjective Expected Pleasure;Odds-based SWU;UWS;Variance Skewness;Venture;RAM;TAX;Heuristic BTA;Heuristic CC;Heuristic EP;Heuristic RELM;Heuristic LL;Heuristic LEPE;Heuristic LPE;Heuristic Minimax;Heuristic Minimax Regret;Heuristic ML;Heuristic MPW;Heuristic Priority;Heuristic Similarity-Leland
1;Erev17app;79.01877858;75.31907992;67.23300631;79.36191349;74.6679945;77.43422184;80.03175632;76.94865662;78.22376577;75.59023649;69.63122457;71.52138651;86.15341335;82.82901625;74.90637123;76.02369989;72.11214532;81.88673866;76.43422148;68.87300309;64.40800155;73.15644843;83.40500749;74.92427596;82.83341438;65.44694073;74.56817173;72.80127733;76.6976765;73.32698886;73.97236569;72.65641823;71.37410414;68.75822606;81.76353809;70.62494323;70.4191866;75.41715541;83.6948607;76.63321375;74.6679945;82.11048521;77.00237242;80.26748108;65.87407132;82.75383338;83.06182985;83.06182985;75.16766713;80.26748108;78.73261571;81.24963363;78.42608048;78.03211165
2;Erev17app;79.01877858;74.65228244;77.51786273;77.00001876;78.64976615;76.30555863;73.22947304;77.26055713;77.82061475;76.18800039;67.8265797;71.2206801;88.74142871;78.73266849;88.18100023;80.3853858;72.30046803;80.19178852;89.74025655;80.15024802;66.97353513;72.50717363;81.17806273;80.49843547;77.53414417;81.57831846;71.68868229;79.89180561;76.34233453;76.97169746;72.52917976;79.8313891;75.38697907;75.84875434;90.10556085;77.4224512;79.28086798;79.43003034;73.55283375;70.54760723;73.75949112;81.3649523;77.00237242;78.05797085;75.32925293;80.26748108;83.04364703;83.06182985;69.45737811;78.05797085;81.66342574;81.9685065;70.51431949;68.86184107
3;Erev17app;79.01877858;80.02766297;64.96340864;84.07071424;71.47401196;52.95737898;52.93846582;56.24550615;60.48932152;47.59465331;51.18612946;45.45107934;94.15045065;78.35806142;70.84759529;51.57645602;49.18122589;83.06182985;80.31654749;80.97256714;44.3569699;47.3812398;88.1075531;72.64838618;44.92150026;46.35065838;63.16329645;66.72246285;47.7160565;50.1355282;50.16048297;54.09949153;58.1213948;62.67941158;49.72955686;68.93811979;80.92056785;62.16444606;44.27336818;38.15560435;59.56272923;82.63999619;67.15832072;80.26748108;76.87751658;82.75383338;83.06182985;83.06182985;39.17821787;80.26748108;78.73261571;79.25221043;51.36237328;67.73967686
4;Erev17app;79.01877858;76.09051871;79.6192362;77.66183253;83.73478781;87.34782409;86.82649341;87.6143793;95.64115547;96.0068571;79.03603413;81.0354924;89.73061114;92.21294683;86.14162496;85.16385217;79.78064406;77.27813114;100.6128622;75.12356143;79.1666127;79.99594462;81.74117665;83.72230627;86.64987627;88.44176054;81.14359821;85.21483068;83.60764178;82.79160083;79.97686873;83.95769414;80.11899375;81.17177941;95.10442193;79.69173655;71.58108683;84.16204502;95.55152379;84.00302794;83.73478781;74.18403784;80.68324334;81.12672074;67.27129092;82.9848878;83.06182985;83.04428509;80.26748108;81.12672074;82.71356409;81.9685065;82.77587211;88.47770628
5;Erev17app;79.01877858;64.34432746;67.45574773;68.0114095;74.64848527;74.82390319;76.86935212;75.91411478;83.80926567;83.76573867;66.75053341;71.4007862;77.27127125;78.30106939;74.75337175;60.42941991;64.42218559;77.97089249;65.24151988;72.25871338;76.30176465;64.91008789;70.51298093;70.0917374;69.54859149;72.96915775;71.91119651;75.54185027;56.38636865;66.91375769;65.83010719;70.29428594;65.93847487;71.498799;84.41633705;70.605434;62.98505745;69.98152614;83.86673963;74.78699863;74.64848527;80.39900318;77.00237242;78.05797085;58.48870195;83.06182985;83.06182985;83.06182985;76.7002518;78.05797085;78.73261571;81.24963363;77.17212825;80.69352589
6;Erev17app;79.01877858;77.40528727;69.44393167;81.44833854;76.12364883;81.2932887;85.3497933;77.53169374;80.86700129;79.78193819;72.39453704;73.19667489;93.49890754;84.16025273;80.74985498;74.77415851;76.61030097;83.06182985;105.169887;85.64791368;87.93717509;75.73537251;84.43526692;77.4750247;85.3757087;83.21117121;73.55979348;76.26129805;81.94098095;78.4496599;74.56518478;79.93845496;74.66289402;72.21824678;100.1139449;73.48698294;84.02043848;78.70594528;75.85784281;79.51108412;74.48054274;76.1103055;79.07697099;79.24568954;81.48381701;78.05797085;82.16849983;83.04428509;76.7002518;79.24568954;81.66342574;83.0396058;75.75880357;78.04360172
7;Erev17app;79.01877858;69.26636651;69.48082515;73.30941778;74.917237;81.18294291;85.13883057;81.60997895;82.19386767;82.10768955;74.34252116;76.10201506;66.09806302;63.65415618;73.72223985;60.03656156;73.30202587;82.94588003;98.16785017;72.95148323;71.13729642;71.82088027;74.22760723;74.76390746;78.82165491;71.70597748;77.25316657;77.56692768;55.50840453;71.18424754;72.08465055;74.23010805;72.93425639;73.52387642;91.79280724;73.52387642;69.02693165;76.97730766;88.79006908;82.4263829;77.56692768;82.95651804;77.00237242;83.06182985;64.79509251;83.06182985;83.06182985;83.04428509;76.7002518;83.06182985;64.76932979;65.71480172;80.47035137;77.08761998
8;Erev17app;79.01877858;73.9473617;75.44585219;77.99041297;80.84086692;86.7261158;86.71181458;87.36124607;91.78533566;91.58661201;71.04849818;73.02017352;89.55785695;91.47245466;87.30210042;71.54044574;75.67415774;82.18456374;75.05978699;84.93805088;88.09680611;73.43182372;81.96771939;77.52470559;77.80570886;79.87808838;80.54804383;82.82790025;67.22265314;74.53381593;73.79449652;79.37673445;75.55651117;78.78484898;93.92136448;79.45900017;81.10222944;79.59956244;92.29194294;79.13460072;83.14686253;82.95651804;79.07697099;81.12672074;77.94730472;83.06182985;83.06182985;83.06182985;69.45737811;81.12672074;80.87046186;81.9685065;70.51431949;82.61011301
9;Erev17app;79.01877858;76.15485617;66.47407127;80.19790744;72.0284482;77.82737023;84.11932925;78.18613784;81.52375458;82.20799453;59.12358205;59.6301525;84.3863916;69.4740294;75.73123106;68.86691313;66.46602941;83.06180751;91.24283028;78.35789088;56.50394284;63.15505683;84.15166535;65.76604197;71.69720217;74.03659837;74.46124752;74.55678392;65.07047924;66.11301605;64.49033284;69.00115443;68.40924207;70.51373265;82.69233521;70.43332369;75.8173001;72.45229334;83.37466761;66.60765178;73.15873896;82.95651804;71.17453364;81.12672074;71.77424883;81.82615896;83.06182985;83.06182985;61.88792001;81.12672074;72.09702245;74.78242661;68.41088183;69.67834331
10;Erev17app;79.01877858;78.61453775;63.85022216;82.49915382;64.67188456;32.47643432;32.41445299;37.32587847;42.68677761;42.2404077;50.29319049;47.46031302;93.46372579;77.90575415;68.55798056;68.81614663;44.49879782;82.98835162;79.5204743;80.99873522;75.32500997;51.03572449;86.6046699;70.4257041;59.61605462;61.49589322;63.17746249;59.24067189;54.60353471;50.56134556;55.97322226;56.27528091;57.42941004;55.19762062;46.75862195;62.74306521;77.15889533;61.47246131;41.18879615;36.08422908;57.21681868;79.20671773;77.00237242;81.12672074;73.11584407;82.36797773;83.06182985;83.06182985;61.88792001;81.12672074;80.87046186;80.34550141;70.51431949;75.1431695
