"","V1","V2","V3","V4"
"1","Odds.based.SWU__gamma","CPT.LBW__tau","EV__epsilon","Heuristic.RELM"
"2","TAX__gamma","CPT.TK__tau","Dual.1__epsilon","Odds.based.SWU"
"3","PT.Edit2__gamma","Odds.based.SWU__tau","CoefVar__epsilon","Noisy.Retrieval"
"4","CPT.Prelec__gamma","TAX__tau","Dual.2__epsilon","Below.mean.Semivariance"
"5","RAM__gamma","PT.Edit1__tau","Mean.Variance__epsilon","TAX"
"6","PT.Edit1__gamma","SEU__tau","Certainty.Equivalence__epsilon","Disappointment.Bell"
"7","Dual.System.M__gamma","Venture__tau","Aspiration__epsilon","Mean.Alpha.target"
"8","Aspiration__gamma","RAM__tau","Variance.Skewness__epsilon","Mean.Variance"
"9","Dual.System.LOB__gamma","CPT.Prelec__tau","CPT.TK__epsilon","Mean.StdDev"
"10","CPT.TK__gamma","PT.Edit2__tau","Mean.Target.Semivariance__epsilon","EUT"
